Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
KRAS	0	0	0	0	49	0	0	0	0	49	46	46
TP53	3	2	10	0	11	8	0	0	0	34	31	31
CHIT1	0	0	0	0	28	29	0	0	0	57	29	29
MUC19	0	0	0	2	47	0	0	0	0	49	23	23
OR8U1	0	0	0	0	38	0	0	0	0	38	23	23
TTN	0	0	0	0	13	9	0	0	0	22	19	19
ARID1A	13	0	4	0	5	6	0	0	0	28	16	16
LNP1	0	0	0	0	17	0	0	0	0	17	14	14
CDKN2A	6	1	4	0	2	1	0	6	0	20	13	13
SYCP2	0	0	0	0	13	0	0	0	0	13	13	13
LRP1B	0	0	0	0	7	5	0	0	0	12	12	12
ZNF880	0	0	0	0	12	0	0	0	0	12	12	12
MUC5AC	0	0	1	0	27	0	0	0	0	28	11	11
ATM	5	0	0	0	1	4	0	0	0	10	10	10
ERICH6B	0	0	0	0	10	0	0	0	0	10	10	10
NKD1	0	0	0	0	10	0	0	0	0	10	10	10
RUNX3	0	0	0	0	1	9	0	0	0	10	10	10
SMAD4	1	0	0	0	2	7	0	0	0	10	10	10
TRPC6	0	0	4	0	6	0	0	0	0	10	10	10
ZFPM1	2	0	0	0	10	0	0	0	0	12	9	9
LRFN5	0	0	0	0	10	0	0	0	0	10	9	9
PKHD1L1	0	0	0	0	10	0	0	0	0	10	9	9
ADAMTS16	0	0	0	0	9	0	0	0	0	9	9	9
ATP9A	0	0	0	0	9	0	0	0	0	9	9	9
BEND3	0	0	0	0	9	0	0	0	0	9	9	9
CELSR1	0	0	0	0	9	0	0	0	0	9	9	9
IRX2	0	0	0	0	9	0	0	0	0	9	9	9
JADE2	0	8	0	0	1	0	0	0	0	9	9	9
LAMA2	0	8	0	0	1	0	0	0	0	9	9	9
MECR	0	0	0	0	0	9	0	0	0	9	9	9
NET1	0	0	0	0	9	0	0	0	0	9	9	9
NLRP11	0	0	0	0	9	0	0	0	0	9	9	9
NT5M	0	0	0	0	0	0	0	0	9	9	9	9
PLVAP	0	0	0	0	9	0	0	0	0	9	9	9
RBP3	0	0	0	0	9	0	0	0	0	9	9	9
SYN2	0	0	0	0	9	0	0	0	0	9	9	9
SYNE3	0	0	0	0	9	0	0	0	0	9	9	9
ADRA2B	0	0	2	0	12	0	0	0	0	14	8	8
ITPRID2	0	0	0	0	12	0	0	0	0	12	8	8
ADGRV1	0	0	0	0	8	0	0	0	0	8	8	8
ARID5B	0	0	0	0	8	0	0	0	0	8	8	8
AZIN1	0	0	0	0	8	0	0	0	0	8	8	8
CYP26B1	0	0	0	0	8	0	0	0	0	8	8	8
DNAH11	0	0	0	0	8	0	0	0	0	8	8	8
GAGE2A	0	0	0	0	8	0	0	0	0	8	8	8
KNTC1	0	0	0	0	8	0	0	0	0	8	8	8
NFATC1	0	0	0	0	8	0	0	0	0	8	8	8
NOS1	0	0	0	0	8	0	0	0	0	8	8	8
PDIA5	0	8	0	0	0	0	0	0	0	8	8	8
PPP1R7	0	0	0	0	8	0	0	0	0	8	8	8
SCAF8	0	0	0	0	8	0	0	0	0	8	8	8
SOX1	5	0	3	0	0	0	0	0	0	8	8	8
SRCIN1	0	0	0	0	8	0	0	0	0	8	8	8
TAS2R31	0	0	0	0	8	0	0	0	0	8	8	8
TBC1D26	0	0	0	0	8	0	0	0	0	8	8	8
ZSWIM9	0	0	0	0	8	0	0	0	0	8	8	8
GP1BA	0	0	0	0	14	0	0	0	0	14	7	7
KLF18	0	0	0	3	10	0	0	0	0	13	7	7
ADAMTS2	0	0	0	0	8	0	0	0	0	8	7	7
ASTN1	0	0	0	0	7	0	0	0	0	7	7	7
CARMIL2	0	0	0	0	7	0	0	0	0	7	7	7
CMYA5	0	0	0	0	7	0	0	0	0	7	7	7
COL6A5	0	0	0	0	7	0	0	0	0	7	7	7
FAT2	0	0	0	0	7	0	0	0	0	7	7	7
FEV	0	0	0	0	7	0	0	0	0	7	7	7
FREM1	6	0	0	0	1	0	0	0	0	7	7	7
FRMPD1	0	0	0	0	7	0	0	0	0	7	7	7
