Tumor_Sample_Barcode	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total
PCA80_80B_CM+	14	7	32	33	391	11	2	10	1	501
PCA35_35B_CM-	18	5	30	41	385	8	2	10	1	500
PCA117_117B_CM-	12	5	13	13	434	13	0	5	0	495
PCA128_128RT_CM+	4	2	0	0	155	11	0	4	0	176
PCA81_81B_T2	4	5	2	0	139	7	0	6	0	163
PCA128_128RT_CM-	6	2	0	0	136	7	0	2	1	154
PCA123_123B_CM-	3	2	4	0	124	9	0	6	0	148
PCA128_128RT_T2	8	3	0	0	126	9	0	2	0	148
PCA113_113B_CM+	2	2	0	0	130	5	0	6	1	146
PCA67_67B_CM-	5	5	1	0	124	6	0	2	1	144
PCA67_67B_T1	4	4	2	0	119	11	0	1	2	143
PCA28_28RT_CM+	3	0	0	0	128	7	0	2	0	140
PCA96_96RT_CM-	6	2	8	0	110	9	0	2	0	137
PCA113_113B_T1	4	1	0	1	120	5	0	3	2	136
PCA96_96RT_T1	4	1	5	0	116	6	0	4	0	136
PCA67_67B_T2	7	6	1	0	110	9	0	1	1	135
PCA67_67RT_CM+	3	6	3	0	112	6	1	2	1	134
PCA81_81B_T1	2	5	1	0	113	8	0	3	0	132
PCA113_113B_CM-	1	1	0	0	118	8	0	1	2	131
PCA28_28RT_CM-	5	0	2	0	114	6	0	4	0	131
PCA67_67RT_CM-	5	4	1	0	109	5	0	2	2	128
PCA67_67B_CM+	3	4	1	0	108	8	0	0	2	126
PCA124_124B_CM+	3	0	4	0	106	6	0	6	0	125
PCA28_28RT_T2	5	1	3	0	111	4	0	1	0	125
PCA128_128RT_T1	8	2	0	0	106	6	0	2	0	124
PCA96_96RT_T2	3	1	4	0	107	5	0	3	0	123
PCA113_113B_T2	3	2	2	0	107	6	0	1	1	122
PCA127_127B_CM-	4	1	1	0	107	6	0	3	0	122
PCA28_28RT_TISSUE	3	0	2	0	113	4	0	0	0	122
PCA67_67RT_T1	5	4	3	0	98	6	0	5	1	122
PCA67_67RT_T2	2	5	1	0	105	6	0	1	1	121
PCA76_76B_CM-	4	2	2	0	103	2	0	1	1	115
PCA81_81B_CM-	4	5	2	0	89	2	0	7	0	109
PCA117_117B_CM+	1	1	1	0	96	4	0	4	0	107
PCA124_124B_T2	3	0	1	0	93	5	0	4	0	106
PCA71_71B_CM-	6	1	0	0	88	5	0	3	0	103
PCA97_97RT_CM-	6	2	3	1	88	1	0	2	0	103
PCA28_28RT_T1	4	0	2	0	87	8	0	0	0	101
PCA128_128RT_TISSUE	4	2	3	0	78	12	0	1	0	100
PCA81_81B_CM+	5	4	1	0	81	6	0	3	0	100
PCA96_96RT_CM+	4	1	4	0	85	6	0	0	0	100
PCA124_124B_CM-	3	0	1	0	85	5	0	5	0	99
PCA124_124B_T1	3	2	3	0	82	4	0	3	0	97
PCA92_92B_CM-	4	1	0	3	75	4	0	1	0	88
PCA63_63RT3_CM-	5	1	2	1	72	3	0	1	0	85
PCA97_97RT_TISSUE	3	1	2	0	69	1	0	1	0	77
PCA96_96RT_TISSUE	2	1	1	0	68	2	0	1	0	75
PCA67_67RT_TISSUE	0	0	2	0	59	6	0	0	1	68
PCA63_63RT3_TISSUE	3	1	0	0	54	2	0	1	0	61
PCA92_92B_TISSUE	2	0	1	1	44	1	0	0	0	49
