"","Hugo_Symbol","num_patients"
"1","KRAS",15
"2","TP53",12
"3","OR8U1",10
"4","CHIT1",8
"5","MUC5AC",8
"6","TTN",8
"7","LNP1",7
"8","MUC19",7
"9","SOX1",7
"10","CDKN2A",6
"11","MUC3A",6
"12","RYR3",6
"13","SMAD4",6
"14","ZFPM1",6
"15","ATG2A",5
"16","CDH23",5
"17","CSMD1",5
"18","IGHV2-70D",5
"19","LRP1B",5
"20","OBSCN",5
"21","RAB11FIP5",5
"22","RAI1",5
"23","RP1L1",5
"24","ZNF880",5
"25","ADAMTSL2",4
"26","ADGRV1",4
"27","ADRA2B",4
"28","ARID1A",4
"29","ARMCX4",4
"30","ATXN1",4
"31","CHD5",4
"32","CMYA5",4
"33","CYP4F22",4
"34","DYSF",4
"35","ENST00000598234",4
"36","FCGBP",4
"37","GOLGA6L2",4
"38","GP1BA",4
"39","GPRIN2",4
"40","HGS",4
"41","HMCN2",4
"42","IFT140",4
"43","IGFN1",4
"44","INTS1",4
"45","KLF18",4
"46","KMT2D",4
"47","MUC16",4
"48","MUC4",4
"49","PHLPP1",4
"50","PLIN4",4
"51","POU3F3",4
"52","PRX",4
"53","PXDNL",4
"54","RYR2",4
"55","SRCIN1",4
"56","STC1",4
"57","TCHH",4
"58","TRBV6-2",4
"59","TRIM67",4
"60","TYW1",4
"61","ZCCHC3",4
"62","ZFHX4",4
"63","ABCA7",3
"64","ABCC10",3
"65","ACTG1",3
"66","ADAMTS2",3
"67","AEBP1",3
"68","ARHGAP10",3
"69","ASTN1",3
"70","ATG9B",3
"71","ATM",3
"72","ATP2B3",3
"73","BCAS3",3
"74","BFSP1",3
"75","CACNA1E",3
"76","CARMIL2",3
"77","CCDC187",3
"78","CDC42BPG",3
"79","CELA1",3
"80","CLCN7",3
"81","CLSTN3",3
"82","COL12A1",3
"83","CPSF1",3
"84","CSMD3",3
"85","CTNND1",3
"86","CTU2",3
"87","CYFIP2",3
"88","DCAF8L2",3
"89","DCDC1",3
"90","DENND4B",3
"91","DGKH",3
"92","DHX37",3
"93","DMKN",3
"94","DNAH5",3
"95","DNAH8",3
"96","DOCK8",3
"97","DSPP",3
"98","EPPK1",3
"99","FAT2",3
"100","FBN3",3
"101","FBXL6",3
"102","FEV",3
"103","FLG",3
"104","FOXD4L4",3
"105","FOXK1",3
"106","FREM1",3
"107","FREM2",3
"108","FRMPD1",3
"109","FSIP2",3
"110","GTPBP6",3
"111","HECTD4",3
"112","HLA-DPB1",3
"113","HLA-DQB1",3
"114","HRCT1",3
"115","IFT172",3
"116","IGLV5-48",3
"117","IL17RA",3
"118","ITGA11",3
"119","KALRN",3
"120","KIF19",3
"121","KIR3DL3",3
"122","KRTAP5-5",3
"123","LEMD3",3
"124","LRBA",3
"125","LRFN5",3
"126","LRP1",3
"127","LYPD8",3
"128","MADCAM1",3
"129","MAP3K10",3
"130","MDGA2",3
"131","MROH1",3
"132","MUC6",3
"133","MYH13",3
"134","MYLK3",3
"135","MYO6",3
"136","NBPF12",3
"137","NFRKB",3
"138","NIPBL",3
"139","NOTCH3",3
"140","NUP214",3
"141","OR10G2",3
"142","OR10Z1",3
"143","OSR2",3
"144","PCNT",3
"145","PECAM1",3
"146","PER3",3
"147","PERCC1",3
"148","PLXNA3",3
"149","PLXNA4",3
"150","POLG",3
"151","POLR2A",3
"152","PRAG1",3
"153","PRDM12",3
"154","PRDM8",3
"155","PRPF40B",3
"156","PRR12",3
"157","RBFOX3",3
"158","RBL2",3
