"","Hugo_Symbol","num_patients"
"1","KRAS",15
"2","TP53",12
"3","CHIT1",8
"4","OR8U1",8
"5","CDKN2A",6
"6","MUC19",6
"7","LNP1",5
"8","SMAD4",5
"9","ADGRV1",4
"10","ARID1A",4
"11","ATG2A",4
"12","MUC5AC",4
"13","PXDNL",4
"14","RAI1",4
"15","SOX1",4
"16","TTN",4
"17","ACTG1",3
"18","ADAMTS2",3
"19","ADRA2B",3
"20","ATM",3
"21","CSMD1",3
"22","DENND4B",3
"23","ENST00000598234",3
"24","FEV",3
"25","FREM1",3
"26","FRMPD1",3
"27","IFT140",3
"28","IGHV2-70D",3
"29","ITGA11",3
"30","KLF18",3
"31","LRP1B",3
"32","MUC6",3
"33","MYH13",3
"34","MYLK3",3
"35","NBPF12",3
"36","PLIN4",3
"37","PRR12",3
"38","SPTBN2",3
"39","TCHH",3
"40","TRBV6-2",3
"41","TRPC6",3
"42","ZFP36L2",3
"43","ZFPM1",3
"44","ZNF880",3
"45","ABCC10",2
"46","ACACB",2
"47","ACAN",2
"48","ADAMTS16",2
"49","ADAMTSL2",2
"50","ADAMTSL3",2
"51","ADAMTSL4",2
"52","ADGRE5",2
"53","ADGRL3",2
"54","AKAP1",2
"55","ALMS1",2
"56","ALPK2",2
"57","ANK2",2
"58","ANKRD30A",2
"59","ARAP3",2
"60","ARHGAP10",2
"61","ARHGAP32",2
"62","ARMCX4",2
"63","ASTN1",2
"64","ATN1",2
"65","ATXN1",2
"66","AUP1",2
"67","BCOR",2
"68","BFSP1",2
"69","BMP2K",2
"70","C1orf35",2
"71","C2orf16",2
"72","CACNA1E",2
"73","CARMIL2",2
"74","CCDC106",2
"75","CCDC168",2
"76","CCDC187",2
"77","CCDC57",2
"78","CCNF",2
"79","CDC42BPG",2
"80","CDH23",2
"81","CDT1",2
"82","CEL",2
"83","CEP350",2
"84","CFTR",2
"85","CHST10",2
"86","CLASRP",2
"87","CMYA5",2
"88","COL11A1",2
"89","COL12A1",2
"90","COL20A1",2
"91","COL22A1",2
"92","COL9A2",2
"93","COQ8A",2
"94","CPS1",2
"95","CPSF1",2
"96","CRLF1",2
"97","CSF2RB",2
"98","CSMD3",2
"99","CTNNA2",2
"100","CTNND1",2
"101","CTU2",2
"102","CYP4F22",2
"103","DCAF8L1",2
"104","DCDC1",2
"105","DDX39B",2
"106","DLX6",2
"107","DMKN",2
"108","DNAAF2",2
"109","DNAH3",2
"110","DNAH8",2
"111","DNMT1",2
"112","DOCK8",2
"113","DRD4",2
"114","EIF4G1",2
"115","EP400",2
"116","EPPK1",2
"117","ERICH6B",2
"118","FAT2",2
"119","FAT3",2
"120","FAT4",2
"121","FBN3",2
"122","FBXL6",2
"123","FCGBP",2
"124","FERD3L",2
"125","FLG",2
"126","FLRT1",2
"127","FNIP2",2
"128","FOXD4L4",2
"129","FOXK1",2
"130","FREM2",2
"131","GDF7",2
"132","GLI3",2
"133","GLIS2",2
"134","GOLGA6L2",2
"135","GP1BA",2
"136","GPRC5A",2
"137","GPRIN2",2
"138","GRAMD1A",2
"139","GTPBP6",2
"140","HLA-DPB1",2
"141","HMCN2",2
"142","HRCT1",2
"143","HS1BP3",2
"144","HTR6",2
"145","IGF2R",2
"146","IGFN1",2
"147","IGLV5-48",2
"148","INA",2
"149","INTS5",2
"150","IREB2",2
"151","ITGAM",2
"152","ITPRID2",2
"153","KDM6A",2
"154","KIAA0586",2
"155","KIF19",2
"156","KIF4B",2
"157","KIF5C",2
"158","KIFC2",2
