Sample	Unique Reads	Duplicate Reads
113B_CM+_T1_1	32599207.0	8645811.0
113B_CM+_T1_2	31771870.0	9473148.0
113B_CM-_T1_1	36095299.0	10688432.0
113B_CM-_T1_2	35169778.0	11613953.0
113B_PBMC_T1_1	38347858.0	10322413.0
113B_PBMC_T1_2	36799087.0	11871184.0
113B_T1_T1_1	39958826.0	12839655.0
113B_T1_T1_2	38616377.0	14182104.0
113B_T2_T1_1	30921994.0	8175540.0
113B_T2_T1_2	30430865.0	8666669.0
117B_CM+_T1_1	32407136.0	7847312.0
117B_CM+_T1_2	31217497.0	9036951.0
117B_PBMC_T1_1	36656728.0	9954419.0
117B_PBMC_T1_2	35724402.0	10886745.0
128RT_CM+_T1_1	37136028.0	12290384.0
128RT_CM+_T1_2	35804571.0	13621841.0
128RT_CM-_T1_1	39889891.0	12013343.0
128RT_CM-_T1_2	38578678.0	13324556.0
128RT_PBMC_T1_1	37924323.0	11091262.0
128RT_PBMC_T1_2	36782573.0	12233012.0
128RT_T1_T1_1	37873554.0	11087674.0
128RT_T1_T1_2	36746668.0	12214560.0
128RT_T2_T1_1	40995507.0	12418339.0
128RT_T2_T1_2	39699387.0	13714459.0
128RT_TISSUE_T1_1	21686436.0	3536384.0
128RT_TISSUE_T1_2	21275032.0	3947788.0
28RT_CM+_T1_1	30494301.0	7339688.0
28RT_CM+_T1_2	29324133.0	8509856.0
28RT_CM-_T1_1	37616442.0	13047207.0
28RT_CM-_T1_2	36924079.0	13739570.0
28RT_PBMC_T1_1	36788541.0	11008201.0
28RT_PBMC_T1_2	35856589.0	11940153.0
28RT_T1_T1_1	35233267.0	11132309.0
28RT_T1_T1_2	34457118.0	11908458.0
28RT_T2_T1_1	33014690.0	9091939.0
28RT_T2_T1_2	31848856.0	10257773.0
28RT_TISSUE_T1_1	36869861.0	11082044.0
28RT_TISSUE_T1_2	35860041.0	12091864.0
67B_CM+_T1_1	37460693.0	12377792.0
67B_CM+_T1_2	36547772.0	13290713.0
67B_CM-_T1_1	34325530.0	11151221.0
67B_CM-_T1_2	33649591.0	11827160.0
67B_T1_T1_1	37354126.0	11197231.0
67B_T1_T1_2	35848072.0	12703285.0
67B_T2_T1_1	35373519.0	9708637.0
67B_T2_T1_2	33987855.0	11094301.0
67RT_CM+_T1_1	32207261.0	8606042.0
67RT_CM+_T1_2	31366333.0	9446970.0
67RT_CM-_T1_1	33754889.0	9365985.0
67RT_CM-_T1_2	33041541.0	10079333.0
67RT_T1_T1_1	32102383.0	8591216.0
67RT_T1_T1_2	31476629.0	9216970.0
67RT_TISSUE_T1_1	33696020.0	8418699.0
67RT_TISSUE_T1_2	32910580.0	9204139.0
67_PBMC_T1_1	33167031.0	8337285.0
67_PBMC_T1_2	32448365.0	9055951.0
67_RT_T2_T1_1	34283953.0	9647682.0
67_RT_T2_T1_2	33436958.0	10494677.0
81B_CM+_T1_1	32475473.0	8428495.0
81B_CM+_T1_2	31584100.0	9319868.0
81B_CM-_T1_1	35714544.0	9872324.0
81B_CM-_T1_2	34391745.0	11195123.0
81B_PBMC_T1_1	38449130.0	11005764.0
81B_PBMC_T1_2	36942965.0	12511929.0
81B_T1_T1_1	34232167.0	10014903.0
81B_T1_T1_2	33228089.0	11018981.0
81B_T2_T1_1	29627378.0	7834475.0
81B_T2_T1_2	28913023.0	8548830.0
96RT_CM+_T1_1	35904642.0	10540426.0
96RT_CM+_T1_2	34804175.0	11640893.0
96RT_CM-_T1_1	36406817.0	11293231.0
96RT_CM-_T1_2	35485137.0	12214911.0
96RT_PBMC_T1_1	40395281.0	12744751.0
96RT_PBMC_T1_2	39312058.0	13827974.0
96RT_T1_T1_1	37624885.0	11937520.0
96RT_T1_T1_2	36522762.0	13039643.0
96RT_T2_T1_1	32392925.0	8730857.0
96RT_T2_T1_2	31520930.0	9602852.0
96RT_TISSUE_T1_1	26471117.0	5023513.0
96RT_TISSUE_T1_2	25781472.0	5713158.0
