task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	2a/e61466	1509781	NFCORE_HLATYPING:HLATYPING:INPUT_CHECK:SAMPLESHEET_CHECK (wes_input_full_optitype.csv)	COMPLETED	0	2023-06-21 12:36:17.790	2.6s	0ms	95.5%	10.1 MB	32.2 MB	918.5 KB	7.3 KB
18	77/4dc33f	1510447	NFCORE_HLATYPING:HLATYPING:FASTQC (67RT_TISSUE_T1)	COMPLETED	0	2023-06-21 12:36:20.613	5m 53s	5m 49s	196.0%	1.1 GB	4.8 GB	6.4 GB	3.4 MB
26	bb/b8c63a	1510409	NFCORE_HLATYPING:HLATYPING:FASTQC (67RT_CM+_T1)	COMPLETED	0	2023-06-21 12:36:20.586	5m 59s	5m 55s	193.5%	1.1 GB	4.5 GB	6 GB	3.4 MB
28	ad/e4483f	1510501	NFCORE_HLATYPING:HLATYPING:FASTQC (67RT_CM-_T1)	COMPLETED	0	2023-06-21 12:36:20.633	6m	5m 56s	196.0%	1.1 GB	4.8 GB	6.5 GB	3.4 MB
33	49/7bcf91	1510420	NFCORE_HLATYPING:HLATYPING:FASTQC (81B_CM+_T1)	COMPLETED	0	2023-06-21 12:36:20.599	6m 9s	6m 6s	189.5%	1.1 GB	4.8 GB	6.1 GB	3.4 MB
58	3b/64b27e	1510546	NFCORE_HLATYPING:HLATYPING:FASTQC (113B_CM-_T1)	COMPLETED	0	2023-06-21 12:36:20.646	7m 3s	6m 59s	191.2%	1.1 GB	4.8 GB	7 GB	3.4 MB
22	98/ce8fa7	1510357	NFCORE_HLATYPING:HLATYPING:FASTQC (67B_T1_T1)	COMPLETED	0	2023-06-21 12:36:20.508	7m 9s	7m 6s	190.7%	1.1 GB	4.8 GB	7.5 GB	3.4 MB
4	5c/c9b054	1538937	NFCORE_HLATYPING:HLATYPING:FASTQC (28RT_CM+_T1)	COMPLETED	0	2023-06-21 12:42:19.397	5m 31s	5m 28s	193.3%	1.1 GB	4.8 GB	5.9 GB	3.4 MB
20	a8/7f751c	1539438	NFCORE_HLATYPING:HLATYPING:FASTQC (67B_CM-_T1)	COMPLETED	0	2023-06-21 12:42:20.375	6m 18s	6m 15s	194.0%	1.1 GB	4.8 GB	6.6 GB	3.4 MB
2	02/284528	1537785	NFCORE_HLATYPING:HLATYPING:FASTQC (28RT_PBMC_T1)	COMPLETED	0	2023-06-21 12:42:13.637	6m 44s	6m 41s	195.3%	1 GB	4.7 GB	7.1 GB	3.4 MB
24	83/a5bbde	1541431	NFCORE_HLATYPING:HLATYPING:FASTQC (67B_T2_T1)	COMPLETED	0	2023-06-21 12:42:29.736	6m 34s	6m 30s	193.6%	1.1 GB	4.6 GB	7 GB	3.4 MB
34	63/1f8b68	1547273	NFCORE_HLATYPING:HLATYPING:FASTQC (81B_CM-_T1)	COMPLETED	0	2023-06-21 12:43:29.834	6m 37s	6m 33s	191.8%	1 GB	4.8 GB	7.1 GB	3.4 MB
6	ed/61aa21	1546202	NFCORE_HLATYPING:HLATYPING:FASTQC (28RT_TISSUE_T1)	COMPLETED	0	2023-06-21 12:43:23.350	6m 44s	6m 40s	193.8%	1 GB	4.8 GB	7.1 GB	3.4 MB
40	da/931e4f	1565631	NFCORE_HLATYPING:HLATYPING:FASTQC (81B_T2_T1)	COMPLETED	0	2023-06-21 12:47:50.318	5m 31s	5m 27s	195.1%	1 GB	4.4 GB	5.4 GB	3.4 MB
30	b5/1883d1	1572995	NFCORE_HLATYPING:HLATYPING:FASTQC (67RT_T1_T1)	COMPLETED	0	2023-06-21 12:49:03.256	5m 48s	5m 45s	196.1%	1.1 GB	4.8 GB	6.1 GB	3.4 MB
48	c2/933f3f	1569735	NFCORE_HLATYPING:HLATYPING:FASTQC (96RT_T1_T1)	COMPLETED	0	2023-06-21 12:48:38.308	7m 4s	7m	194.7%	1 GB	4.7 GB	7.4 GB	3.4 MB
