sample	chr	startpos	endpos	nMajor	nMinor
97RT_TISSUE_vs_97RT_PBMC.tumour	1	1185051	78927071	1	1
97RT_TISSUE_vs_97RT_PBMC.tumour	1	84398573	119895261	1	0
97RT_TISSUE_vs_97RT_PBMC.tumour	1	145873487	248745207	2	1
97RT_TISSUE_vs_97RT_PBMC.tumour	2	242800	241745694	2	1
97RT_TISSUE_vs_97RT_PBMC.tumour	3	319825	74364525	1	0
97RT_TISSUE_vs_97RT_PBMC.tumour	3	81648979	197985888	2	1
97RT_TISSUE_vs_97RT_PBMC.tumour	4	271152	188101170	1	0
97RT_TISSUE_vs_97RT_PBMC.tumour	5	139587	21751947	2	1
97RT_TISSUE_vs_97RT_PBMC.tumour	5	26988221	181005416	1	1
97RT_TISSUE_vs_97RT_PBMC.tumour	6	564145	170553212	1	1
97RT_TISSUE_vs_97RT_PBMC.tumour	7	775151	159058543	2	1
97RT_TISSUE_vs_97RT_PBMC.tumour	8	615232	144930861	2	1
97RT_TISSUE_vs_97RT_PBMC.tumour	9	271638	138058238	1	0
97RT_TISSUE_vs_97RT_PBMC.tumour	10	1000772	133527063	2	1
97RT_TISSUE_vs_97RT_PBMC.tumour	11	1086825	50033053	1	1
97RT_TISSUE_vs_97RT_PBMC.tumour	11	55343762	134374229	2	1
97RT_TISSUE_vs_97RT_PBMC.tumour	12	202783	43375473	2	1
97RT_TISSUE_vs_97RT_PBMC.tumour	12	43754456	52287632	1	0
97RT_TISSUE_vs_97RT_PBMC.tumour	12	52316931	133202210	2	1
97RT_TISSUE_vs_97RT_PBMC.tumour	13	19824529	114324544	2	1
97RT_TISSUE_vs_97RT_PBMC.tumour	14	19921447	81278392	2	2
97RT_TISSUE_vs_97RT_PBMC.tumour	14	87941544	106657835	2	0
97RT_TISSUE_vs_97RT_PBMC.tumour	15	19987698	101684138	2	1
97RT_TISSUE_vs_97RT_PBMC.tumour	16	58586	90074947	2	1
97RT_TISSUE_vs_97RT_PBMC.tumour	17	562535	21300945	2	0
97RT_TISSUE_vs_97RT_PBMC.tumour	17	27301794	50551220	2	1
97RT_TISSUE_vs_97RT_PBMC.tumour	17	50863061	83048511	2	0
97RT_TISSUE_vs_97RT_PBMC.tumour	18	224184	14752958	2	1
97RT_TISSUE_vs_97RT_PBMC.tumour	18	21574182	37519525	1	0
97RT_TISSUE_vs_97RT_PBMC.tumour	18	42743532	80138359	1	1
97RT_TISSUE_vs_97RT_PBMC.tumour	19	282753	58478128	2	1
97RT_TISSUE_vs_97RT_PBMC.tumour	20	158815	64086577	1	1
97RT_TISSUE_vs_97RT_PBMC.tumour	21	14109044	46602317	1	1
97RT_TISSUE_vs_97RT_PBMC.tumour	22	16784014	50577409	2	1
97RT_TISSUE_vs_97RT_PBMC.tumour	X	1389431	57910281	2	0
97RT_TISSUE_vs_97RT_PBMC.tumour	X	64192810	87632244	1	0
97RT_TISSUE_vs_97RT_PBMC.tumour	X	93672635	154830834	2	0
