chr	startpos	endpos	nMajor	nMinor
1	1185051	119895261	1	0
1	145873487	248745207	1	1
2	242800	241745694	1	1
3	319825	74364525	1	0
3	81648979	146589584	1	1
3	148741608	197985888	2	1
4	271152	188101170	1	0
5	139587	181005416	1	1
6	564145	7601487	1	0
6	10906023	170553212	1	1
7	775151	159058543	1	1
8	615232	144930861	1	1
9	271638	138058238	1	0
10	1000772	133527063	1	1
11	1086825	134374229	1	1
12	202783	4912182	2	1
12	5565588	43375473	1	1
12	43754456	52287632	1	0
12	52316931	81375802	2	1
12	85055687	126434042	1	1
12	128669441	133202210	2	0
13	19824529	114324544	1	1
14	19921447	65561728	2	0
14	67204984	92704648	2	1
14	93528608	106657835	1	0
15	19987698	101684138	1	1
16	58586	90074947	1	1
17	562535	21300945	1	0
17	27301794	51882949	1	1
17	53824024	83048511	1	0
18	224184	14752958	1	1
18	21574182	80138359	1	0
19	282753	58478128	1	1
20	158815	25686101	1	0
20	31794512	64086577	1	1
21	14109044	46602317	1	1
22	16784014	50577409	1	1
X	1389431	154830834	1	0
