	Chromosome	Position	67RT_CM-_vs_67_PBMC.tumour
1_69511	1	69511	-0.38440068553579
1_923744	1	923744	0.801544957066657
1_923955	1	923955	0.908248631425309
1_923990	1	923990	0.901966224128628
1_924533	1	924533	0.892261183651617
1_930314	1	930314	0.816778568716317
1_931042	1	931042	0.745603673127377
1_935859	1	935859	0.818012168655427
1_943364	1	943364	0.468751178499609
1_943365	1	943365	0.533736615247463
1_943896	1	943896	1.06243089632187
1_943991	1	943991	0.862999623428737
1_952062	1	952062	0.495814688081373
1_954071	1	954071	0.681950619079399
1_957132	1	957132	0.730424348408961
1_957189	1	957189	0.753161024305459
1_957213	1	957213	0.639525153709691
1_961906	1	961906	0.605309438371778
1_961957	1	961957	0.65427978262827
1_962358	1	962358	0.471561754633996
1_962739	1	962739	0.899836391609109
1_963349	1	963349	0.739371719415863
1_963472	1	963472	0.571817622436297
1_963475	1	963475	0.503630882821413
1_964135	1	964135	0.851760960009968
1_965059	1	965059	0.829507807493257
1_965125	1	965125	0.575342934781711
1_966211	1	966211	0.370991767471408
1_966708	1	966708	0.49791723162702
1_970911	1	970911	0.548364021107731
1_970922	1	970922	0.443394461506189
1_970932	1	970932	0.537904249462692
1_971132	1	971132	0.560354940276083
1_973289	1	973289	0.410354199742181
1_973549	1	973549	0.901843759458898
1_973940	1	973940	0.7795880094079
1_973946	1	973946	0.790477172799558
1_974557	1	974557	0.683919273068144
1_976536	1	976536	0.828958314041217
1_978945	1	978945	0.607954159627342
1_978996	1	978996	0.760116502826269
1_979347	1	979347	0.39537799216939
1_979355	1	979355	0.400847113997805
1_979560	1	979560	0.71547400694299
1_979654	1	979654	0.608070267231999
1_980008	1	980008	0.607898077097416
1_980234	1	980234	0.357886779848046
1_981154	1	981154	0.561491069780308
1_982112	1	982112	0.936900014238015
1_999842	1	999842	0.924927372571939
1_1014042	1	1014042	0.527591875026555
1_1014058	1	1014058	0.605047106333436
1_1014217	1	1014217	0.877621657793583
1_1014228	1	1014228	0.971721584050881
1_1020239	1	1020239	0.714360386632281
1_1022260	1	1022260	0.714507592901567
1_1041183	1	1041183	0.400012255520722
1_1041249	1	1041249	0.486043131338728
1_1041648	1	1041648	0.629471489045768
1_1043354	1	1043354	0.600924949446718
1_1043839	1	1043839	0.664775475271267
1_1045393	1	1045393	0.840714368668854
1_1045965	1	1045965	0.981510900938307
1_1046551	1	1046551	0.793137500016398
1_1046845	1	1046845	0.781969418729896
1_1046854	1	1046854	0.813136547114383
1_1047403	1	1047403	0.558499817517717
1_1047626	1	1047626	0.876017772090993
1_1048126	1	1048126	0.714841846687104
1_1048900	1	1048900	0.913956254750936
1_1049046	1	1049046	1.00834338075958
1_1049746	1	1049746	0.968781662161367
1_1049791	1	1049791	0.97140180237144
1_1050785	1	1050785	0.627246823931254
1_1051538	1	1051538	0.796919760195868
1_1052014	1	1052014	0.910280596607538
1_1053768	1	1053768	0.788425372667077
1_1053827	1	1053827	0.861996116845482
1_1053840	1	1053840	0.871816036112377
1_1053915	1	1053915	0.898292246068473
1_1053933	1	1053933	0.915146351779354
1_1054917	1	1054917	0.57867385526499
1_1055393	1	1055393	0.501715941847395
1_1069443	1	1069443	0.738831080458481
1_1069566	1	1069566	1.05518375852328
1_1069577	1	1069577	1.05922846428353
1_1071916	1	1071916	0.417967383852056
1_1072052	1	1072052	0.604464686689076
1_1072237	1	1072237	0.824860417468017
1_1072454	1	1072454	0.770084327341928
1_1083934	1	1083934	0.526377996081664
1_1084003	1	1084003	0.628942544936859
1_1087154	1	1087154	0.734496715694985
1_1087155	1	1087155	0.685988642355608
1_1091167	1	1091167	0.308256012123445
1_1091290	1	1091290	0.342653959378423
1_1091576	1	1091576	0.960116801034239
