chr	startpos	endpos	nMajor	nMinor
1	1185051	78927071	3	0
1	84398573	248745207	2	1
2	242800	241745694	2	1
3	319825	197985888	2	1
4	271152	188101170	2	2
5	139587	181005416	2	1
6	564145	170553212	2	0
7	775151	159058543	2	1
8	615232	144930861	2	2
9	271638	138058238	2	1
10	1000772	133527063	2	1
11	1086825	134374229	2	1
12	202783	133202210	2	2
13	19824529	53034497	2	2
13	66782796	67228207	2	1
13	72775221	114324544	2	2
14	19921447	106657835	2	2
15	19987698	101684138	2	2
16	58586	90074947	2	2
17	562535	21300945	2	0
17	27301794	83048511	2	2
18	224184	11886564	2	2
18	12096250	14752958	2	1
18	21574182	80138359	2	0
19	282753	58478128	2	1
20	158815	64086577	2	1
21	14109044	46602317	2	2
22	16784014	30557308	2	0
22	30607151	31602626	3	0
22	31612053	50577409	2	0
X	1389431	154830834	2	0
