chr	startpos	endpos	nMajor	nMinor
1	1185051	11145001	1	1
1	11768262	33935852	1	0
1	34197607	248745207	1	1
2	242800	33457670	1	1
2	36477001	60948177	1	0
2	61077136	152521945	1	1
2	154854845	241745694	2	1
3	319825	101857331	1	0
3	108353451	121436127	1	1
3	121489329	123947055	1	0
3	124326102	197985888	1	1
4	271152	188101170	1	1
5	139587	181005416	1	1
6	564145	34836170	2	0
6	34856859	36495850	1	0
6	36677919	47681486	2	0
6	47681529	170553212	1	0
7	775151	94587878	1	1
7	95269499	159058543	1	0
8	615232	115619675	1	1
8	116771736	134600502	3	1
8	138151949	144930861	1	1
9	271638	138058238	1	0
10	1000772	12101106	1	0
10	12149934	133527063	1	1
11	1086825	50033053	1	0
11	55343762	78661491	1	1
11	82824921	89710640	1	0
11	90135587	134374229	1	1
12	202783	34021821	2	1
12	38321198	128697265	1	0
12	128794319	133202210	1	1
13	19824529	53034497	1	1
13	66782796	79192053	0	1
13	91764804	114324544	1	1
14	19921447	106657835	1	1
15	19987698	101684138	1	1
16	58586	2425650	1	1
16	2762889	3657746	1	0
16	4015582	90074947	1	1
17	562535	21300945	1	0
17	27301794	83048511	1	1
18	224184	80138359	1	0
19	282753	58478128	1	0
20	158815	25686101	1	0
20	31794512	64086577	1	1
21	14109044	46602317	1	1
22	16784014	50577409	1	1
X	1389431	57910281	1	0
X	64192810	64192810	0	0
X	70258899	154830834	1	0
