	Chromosome	Position	63RT3_CM-_vs_63RT3_PBMC.tumour
1_923744	1	923744	0.378004435007472
1_923955	1	923955	0.512137082838103
1_923990	1	923990	0.465062921714186
1_924533	1	924533	0.130137879221447
1_930314	1	930314	0.132715911351522
1_931042	1	931042	0.209594380768805
1_935859	1	935859	0.0883535410944419
1_943364	1	943364	0.70627530282052
1_943365	1	943365	0.730945166825512
1_943896	1	943896	0.242747181964486
1_943991	1	943991	0.281935738290892
1_952062	1	952062	-0.0300952428567848
1_954071	1	954071	0.455721788981971
1_957132	1	957132	0.0704316330971797
1_957189	1	957189	0.379184339236809
1_957213	1	957213	0.543501253747439
1_961906	1	961906	-0.0466077880930397
1_961957	1	961957	-0.0588513838477869
1_962358	1	962358	0.346066075710607
1_962739	1	962739	0.0704316330971797
1_963349	1	963349	-0.00281734893345897
1_963349.1	1	963349	-0.00281734893345897
1_963472	1	963472	0.112866899417576
1_963475	1	963475	0.114153010526497
1_964135	1	964135	0.08522863502526
1_965059	1	965059	0.10492000948247
1_965125	1	965125	-0.0828146271985023
1_966211	1	966211	-0.209676286095556
1_966708	1	966708	0.0837284557106375
1_970911	1	970911	0.582881634033968
1_970922	1	970922	0.408301271853564
1_970932	1	970932	0.452302268440824
1_971132	1	971132	0.404169030274175
1_973289	1	973289	-0.0257836821621235
1_973549	1	973549	0.414386034314541
1_973940	1	973940	0.385933458825109
1_973946	1	973946	0.418354936517487
1_974557	1	974557	0.110509072472515
1_976536	1	976536	0.662346894460103
1_978945	1	978945	0.0704316330971797
1_978996	1	978996	0.292824054433628
1_979347	1	979347	0.698462855710222
1_979355	1	979355	0.614053338437436
1_979560	1	979560	0.459843324700529
1_979654	1	979654	0.521538387083545
1_980008	1	980008	0.168463716057706
1_980234	1	980234	0.254856204234607
1_981154	1	981154	0.258364583690255
1_982112	1	982112	0.0597052265041213
1_999842	1	999842	0.212450637969607
1_1014042	1	1014042	-1.15196078823927
1_1014058	1	1014058	-0.909939560153888
