	Chromosome	Position	113B_T1_vs_113B_PBMC.tumour
1_69511	1	69511	0.031675973357554
1_923744	1	923744	-1.20439138487597
1_923955	1	923955	-1.10715173133976
1_923990	1	923990	-1.06861208354334
1_924533	1	924533	-0.801797601661999
1_930314	1	930314	-0.986309772115809
1_931042	1	931042	-0.904598429032059
1_935859	1	935859	-0.845467278856913
1_943364	1	943364	-0.650841836786276
1_943365	1	943365	-0.632226158618929
1_943896	1	943896	-0.905588271294484
1_943991	1	943991	-0.650841836786276
1_952062	1	952062	-0.924602649213128
1_954071	1	954071	-0.605753947257738
1_957132	1	957132	-0.774002370892667
1_957189	1	957189	-0.874416892044911
1_957213	1	957213	-1.00249062979364
1_961906	1	961906	-0.39904314815356
1_961957	1	961957	-0.780251678489874
1_962358	1	962358	-1.01341191617098
1_962739	1	962739	-0.681442878854285
1_963349	1	963349	-0.902735685014869
1_963472	1	963472	-0.846152156648502
1_963475	1	963475	-0.812204824725164
1_964135	1	964135	-0.668947773744932
1_965059	1	965059	-0.59064705486753
1_965125	1	965125	-0.76964003221871
1_966211	1	966211	-0.579758738724793
1_966708	1	966708	-1.1203271200875
1_970911	1	970911	-0.942540000872213
1_970922	1	970922	-0.946297720312447
1_970932	1	970932	-0.980602356420883
1_971132	1	971132	-0.47837464078151
1_973289	1	973289	-0.838556151672117
1_973549	1	973549	-1.01844750606828
1_973940	1	973940	-0.683756459259011
1_973946	1	973946	-0.699876124622288
1_974557	1	974557	-0.935295226254976
1_976536	1	976536	-1.0778918537671
1_978945	1	978945	-0.672868143116275
1_978996	1	978996	-1.16059099030122
1_979347	1	979347	-0.97512920454756
1_979355	1	979355	-0.808383113772756
1_979560	1	979560	-0.69651941118092
1_979654	1	979654	-0.857292714253702
1_980008	1	980008	-0.729867643529318
1_980234	1	980234	-0.769829873003363
1_981154	1	981154	-0.885861866450473
1_982112	1	982112	-0.816320933197396
1_999842	1	999842	-0.949340923274873
1_1014042	1	1014042	-0.433485005347126
1_1014058	1	1014058	-0.45819675884388
1_1014217	1	1014217	-0.9276820421451
1_1014228	1	1014228	-0.917510237087809
1_1020239	1	1020239	-1.16214729578212
1_1022260	1	1022260	-0.601860031153247
1_1041183	1	1041183	-0.931293295697479
1_1041249	1	1041249	-1.03666919104059
1_1041648	1	1041648	-0.873687152504371
1_1043354	1	1043354	-0.982823596337561
1_1043839	1	1043839	-0.81491411198315
1_1045393	1	1045393	-0.924776310969689
1_1045965	1	1045965	-1.20212121125114
1_1046551	1	1046551	-1.30089936572932
1_1046845	1	1046845	-0.599936620662424
1_1046854	1	1046854	-0.672868143116275
1_1047403	1	1047403	-0.737857483265083
1_1047626	1	1047626	-0.622827460616679
1_1048126	1	1048126	-0.668631150229804
1_1048900	1	1048900	-1.03053044973685
1_1049046	1	1049046	-0.976962944916319
1_1049746	1	1049746	-0.691483821283622
1_1049791	1	1049791	-0.684825518248937
1_1050785	1	1050785	-0.920718094395336
1_1051538	1	1051538	-0.745931605305998
1_1052014	1	1052014	-0.663120166564713
1_1053768	1	1053768	-0.68736771281139
1_1053827	1	1053827	-0.520865049671225
1_1053840	1	1053840	-0.445727406881663
1_1053915	1	1053915	-0.656380020327706
1_1053933	1	1053933	-0.751682526293104
1_1054917	1	1054917	-1.17691064845386
1_1055393	1	1055393	-0.723436967518912
1_1069443	1	1069443	-0.90370317921066
1_1069566	1	1069566	-0.81753088537833
1_1069577	1	1069577	-0.923290273027943
1_1071916	1	1071916	-0.584274219847286
1_1072052	1	1072052	-0.802844930231326
1_1072237	1	1072237	-0.870967651150779
1_1072454	1	1072454	-0.857292714253702
1_1083934	1	1083934	-1.1203271200875
1_1084003	1	1084003	-0.677808884386545
1_1087154	1	1087154	-0.917510237087809
1_1087155	1	1087155	-0.917510237087809
1_1091167	1	1091167	-0.688011629376817
1_1091290	1	1091290	-0.924931431129066
1_1091576	1	1091576	-0.876658039120633
1_1180168	1	1180168	-0.53536461936634
1_1180802	1	1180802	-0.900545912207586
1_1185041	1	1185041	-0.643889076144509
1_1185051	1	1185051	-0.753544789415873
1_1185123	1	1185123	-0.897934698751048
