	Chromosome	Position	97RT_CM-_vs_97RT_PBMC.tumour
1_69511	1	69511	-0.138283980916398
1_923744	1	923744	0.612556688184368
1_923955	1	923955	0.632370837105387
1_923990	1	923990	0.494887612847378
1_924533	1	924533	0.641694502209901
1_930314	1	930314	0.486644927122403
1_931042	1	931042	0.884083832112057
1_935859	1	935859	-0.154772103704967
1_943364	1	943364	0.659672243138956
1_943365	1	943365	0.631103090942186
1_943896	1	943896	0.633556654528268
1_943991	1	943991	0.69589243105171
1_952062	1	952062	0.421956090393527
1_954071	1	954071	0.603306698633613
1_957132	1	957132	0.863135296168936
1_957189	1	957189	0.553178141105437
1_957213	1	957213	0.720711924587809
1_961906	1	961906	0.38778483075119
1_961957	1	961957	0.517067847696156
1_962358	1	962358	0.747848054525323
1_962739	1	962739	0.402735172217161
1_963349	1	963349	0.721040931440065
1_963349.1	1	963349	0.721040931440065
1_963472	1	963472	0.616603521247071
1_963475	1	963475	0.646723509623406
1_964135	1	964135	0.601006666196052
1_965059	1	965059	0.646350864641123
1_965125	1	965125	0.627918834474905
1_966211	1	966211	0.666876727728294
1_966708	1	966708	0.818792371860337
1_970911	1	970911	0.7306387644931
1_970922	1	970922	0.853043717069151
1_970932	1	970932	0.783713507082329
1_971132	1	971132	0.703408348784343
1_973289	1	973289	0.480625851728096
1_973549	1	973549	0.662407210860195
1_973940	1	973940	0.845227896295033
1_973946	1	973946	0.716767683172503
1_974557	1	974557	0.636232327996003
1_976536	1	976536	0.6735934998319
1_978945	1	978945	0.700995708537443
1_978996	1	978996	0.844555467925419
1_979347	1	979347	0.569297806468714
1_979355	1	979355	0.609186049684587
1_979560	1	979560	0.519579066852206
1_979654	1	979654	0.69179101764129
1_980008	1	980008	0.487523572082141
1_980234	1	980234	0.950504257800509
1_981154	1	981154	0.551015179619494
1_982112	1	982112	0.680566579979036
1_999842	1	999842	0.747848054525323
1_1014042	1	1014042	0.609617090930964
1_1014058	1	1014058	0.560750286513553
1_1014217	1	1014217	0.501960955305948
1_1014228	1	1014228	0.544710602765285
1_1020239	1	1020239	0.568394428204451
1_1022260	1	1022260	0.43603127560525
1_1041183	1	1041183	0.631103090942186
1_1041249	1	1041249	0.480101521342208
1_1041648	1	1041648	0.787536343226972
1_1043354	1	1043354	0.314813071930785
1_1043839	1	1043839	0.881224177972816
1_1045393	1	1045393	0.744611133623142
1_1045965	1	1045965	0.987919643096596
1_1046551	1	1046551	0.983546732324869
1_1046845	1	1046845	0.553867765899108
1_1046854	1	1046854	0.507220061739809
1_1047403	1	1047403	0.558388907301775
1_1047626	1	1047626	0.439298989439161
1_1048126	1	1048126	0.5880343690503
1_1048900	1	1048900	0.616603521247071
1_1049046	1	1049046	0.683717717105607
1_1049746	1	1049746	0.515999580308665
1_1049791	1	1049791	0.592598058236281
1_1050785	1	1050785	0.395694591085953
1_1051538	1	1051538	0.674947507477875
1_1052014	1	1052014	0.455897049834137
1_1053768	1	1053768	0.861716019083602
1_1053827	1	1053827	0.576446394775088
1_1053840	1	1053840	0.705140195848728
1_1053915	1	1053915	0.316617979240385
1_1053933	1	1053933	0.254033441862362
1_1054917	1	1054917	0.428299990489904
1_1055393	1	1055393	0.449429130820793
1_1069443	1	1069443	0.418664143635162
1_1069566	1	1069566	0.731192653049004
1_1069577	1	1069577	0.768606614692121
1_1071916	1	1071916	0.314574983797413
1_1072052	1	1072052	0.400874830191633
1_1072237	1	1072237	0.575464826453584
1_1072454	1	1072454	0.586856177853019
1_1083934	1	1083934	0.548432018605491
1_1084003	1	1084003	0.125763197890464
1_1087154	1	1087154	0.506979030072572
1_1087155	1	1087155	0.560750286513553
1_1091167	1	1091167	0.371127486797582
1_1091290	1	1091290	0.541315393942833
1_1091576	1	1091576	0.318262246677324
1_1180168	1	1180168	0.439725759162991
1_1180802	1	1180802	0.517067847696156
1_1185041	1	1185041	0.803016645477952
1_1185051	1	1185051	0.768606614692121
1_1185123	1	1185123	0.502270845768076
1_1188877	1	1188877	0.345456469625957
1_1194632	1	1194632	0.477584561390473
1_1196705	1	1196705	0.483020366868479
1_1197558	1	1197558	0.855484065372087
1_1197586	1	1197586	0.835243807722411
1_1197745	1	1197745	0.857611620750865
1_1203822	1	1203822	0.784060267098633
1_1203836	1	1203836	0.807323722264974
1_1203871	1	1203871	0.646350864641123
1_1204015	1	1204015	0.676160365927525
1_1204185	1	1204185	0.961251692634516
1_1206396	1	1206396	0.762993008228594
1_1211585	1	1211585	0.872943274506856
1_1211644	1	1211644	0.844555467925419
1_1212898	1	1212898	0.669070941141206
1_1213249	1	1213249	0.455140098552954
1_1213734	1	1213734	0.763945237322258
1_1214100	1	1214100	0.412947662492208
1_1217629	1	1217629	0.656131885433708
1_1218703	1	1218703	0.684327607218638
1_1218967	1	1218967	0.744611133623142
1_1228651	1	1228651	1.17196230892333
1_1228685	1	1228685	1.1805044064404
1_1232416	1	1232416	0.691565578928293
1_1232800	1	1232800	0.134002738155592
1_1242506	1	1242506	0.657826183973584
1_1242516	1	1242516	0.711551925302333
1_1242601	1	1242601	0.784119614063445
1_1242864	1	1242864	0.519306319892156
1_1242871	1	1242871	0.589330591096967
1_1242875	1	1242875	0.551015179619494
1_1242886	1	1242886	0.611065337705641
1_1243468	1	1243468	0.89837448966245
1_1244420	1	1244420	0.740963859622992
1_1246651	1	1246651	0.653129397272185
1_1255392	1	1255392	0.13597768034065
1_1262318	1	1262318	0.479099997497136
1_1266173	1	1266173	0.565073220606989
1_1266225	1	1266225	0.719173254887618
1_1284021	1	1284021	0.383113391027292
1_1285442	1	1285442	0.654078226665733
1_1285529	1	1285529	0.703018273064544
1_1285594	1	1285594	0.566417764078854
1_1286150	1	1286150	0.739751752019935
1_1286952	1	1286952	0.906110138442055
1_1287578	1	1287578	0.505572208858327
1_1287983	1	1287983	0.616603521247071
1_1288005	1	1288005	0.628576162913147
1_1290683	1	1290683	0.633881512678906
1_1290687	1	1290687	0.610654254915884
1_1291289	1	1291289	0.531714623660558
1_1291310	1	1291310	0.670542328357874
1_1291396	1	1291396	0.694606033248344
1_1294498	1	1294498	0.515065494785008
1_1296589	1	1296589	0.322420416842612
1_1309258	1	1309258	0.536113603386703
1_1310642	1	1310642	0.894137496775979
1_1310993	1	1310993	0.512531067099384
1_1311058	1	1311058	0.593519908134029
1_1311467	1	1311467	0.756006577912487
1_1311527	1	1311527	0.677357552326167
1_1311620	1	1311620	0.737909817469204
1_1312114	1	1312114	0.35660317550291
1_1313527	1	1313527	0.219268023701686
1_1313807	1	1313807	0.684838256999523
1_1315577	1	1315577	0.743295526162933
1_1319056	1	1319056	0.727634833635814
1_1319063	1	1319063	0.792702290309583
1_1327457	1	1327457	0.648312380974409
1_1327560	1	1327560	0.482852132358243
1_1327577	1	1327577	0.540654668013772
1_1327705	1	1327705	0.596703963809366
1_1331666	1	1331666	0.37628919191336
1_1332116	1	1332116	0.425919959637961
1_1332124	1	1332124	0.343227171191818
1_1332226	1	1332226	0.517067847696156
1_1332271	1	1332271	0.642229328922565
1_1332677	1	1332677	0.692154554254247
1_1333466	1	1333466	0.591599515117176
1_1334123	1	1334123	0.265438205134612
1_1334174	1	1334174	0.12143769087656
1_1334422	1	1334422	0.455780726912011
1_1336134	1	1336134	0.362846929001288
1_1336134.1	1	1336134	0.362846929001288
1_1336256	1	1336256	0.291508147281025
1_1336473	1	1336473	0.83396035268622
1_1338022	1	1338022	0.416665950738319
1_1339592	1	1339592	0.473863349130989
1_1340503	1	1340503	0.334203790546346
1_1342153	1	1342153	0.347668513973592
1_1353897	1	1353897	0.666644203746666
1_1354066	1	1354066	0.726786438997494
1_1355028	1	1355028	0.836625038120772
1_1387355	1	1387355	0.734255109901343
1_1393431	1	1393431	0.598130861175592
1_1399095	1	1399095	0.307275463139342
1_1405744	1	1405744	0.747272473013245
1_1405858	1	1405858	0.65660158917899
1_1419135	1	1419135	0.272649120029709
1_1419136	1	1419136	0.257353800153974
1_1419158	1	1419158	0.379564323946221
1_1419399	1	1419399	0.0402541508306224
1_1419540	1	1419540	0.35648071083318
1_1420066	1	1420066	0.181018644564141
1_1420173	1	1420173	0.387121675124303
1_1420283	1	1420283	0.705870859344158
1_1420931	1	1420931	0.254033441862362
1_1426164	1	1426164	0.316617979240385
1_1426253	1	1426253	0.5564825288095
1_1426316	1	1426316	0.595070359697429
1_1426353	1	1426353	0.517067847696156
1_1434873	1	1434873	0.528066846645413
1_1434897	1	1434897	0.379564323946221
1_1434899	1	1434899	0.388902188525557
1_1436888	1	1436888	0.85606945594246
1_1436889	1	1436889	0.862664848477151
1_1437061	1	1437061	0.754107044997005
1_1437288	1	1437288	0.484153225223421
1_1439581	1	1439581	0.411672069976845
1_1439682	1	1439682	0.357216892428421
1_1439715	1	1439715	0.472213611911896
1_1452367	1	1452367	0.721040931440065
1_1455506	1	1455506	0.747848054525323
1_1455812	1	1455812	0.747848054525323
1_1455828	1	1455828	0.690604102690847
1_1457141	1	1457141	0.485551411449048
1_1457142	1	1457142	0.455667303032013
1_1460831	1	1460831	0.60133676459376
1_1460864	1	1460864	0.610654254915884
1_1468408	1	1468408	0.554481809339273
1_1468434	1	1468434	0.696905149337932
1_1477343	1	1477343	0.632033561816676
1_1478568	1	1478568	0.608566202181652
1_1485152	1	1485152	0.212213266167735
1_1485808	1	1485808	0.584182043554693
1_1487887	1	1487887	0.45826649407997
1_1489782	1	1489782	0.824408406360472
1_1490287	1	1490287	0.842370669364175
1_1490346	1	1490346	0.862764108516468
1_1490373	1	1490373	0.836510679193924
1_1495604	1	1495604	0.838995942583519
1_1495695	1	1495695	0.992112656339277
1_1495725	1	1495725	0.644617897416667
1_1495783	1	1495783	0.554319242992728
1_1495793	1	1495793	0.361789622218245
1_1512312	1	1512312	0.637362081413868
1_1523889	1	1523889	0.802159174403147
1_1533961	1	1533961	0.705140195848728
1_1535427	1	1535427	0.235174414611047
1_1535428	1	1535428	0.235174414611047
1_1544894	1	1544894	0.759836405064388
1_1599902	1	1599902	0.836090211408107
1_1615755	1	1615755	0.303843741633303
1_1615856	1	1615856	0.521607007311323
1_1615869	1	1615869	0.554738265662211
1_1616572	1	1616572	0.563361499970091
1_1623412	1	1623412	0.732835483670299
1_1623829	1	1623829	0.321147637720899
1_1623847	1	1623847	0.133179046987977
1_1625566	1	1625566	0.807425863582649
1_1627150	1	1627150	0.834194956319697
1_1627322	1	1627322	0.64357056884734
1_1629261	1	1629261	0.980657091807109
1_1630322	1	1630322	0.825190143058488
1_1632438	1	1632438	0.483336990383606
1_1636993	1	1636993	0.740338889669315
1_1637828	1	1637828	0.894137496775979
1_1665856	1	1665856	0.961631299278172
1_1669706	1	1669706	0.577075157060433
1_1704310	1	1704310	0.873761360744195
1_1719368	1	1719368	0.620326607289788
1_1732521	1	1732521	1.15562973780137
1_1752910	1	1752910	0.396925484607659
1_1754628	1	1754628	0.491072639163212
1_1754642	1	1754642	0.539982239644158
1_1757280	1	1757280	0.270153107225639
1_1759105	1	1759105	0.49461299686846
1_1762005	1	1762005	0.609408019842867
1_1815818	1	1815818	0.503709464841137
1_1891375	1	1891375	0.300129856451816
1_1915326	1	1915326	0.650550853170408
1_1916540	1	1916540	0.40200947047103
1_1916792	1	1916792	0.882939290171115
