	Chromosome	Position	81B_CM-_vs_81B_PBMC.tumour
1_69511	1	69511	0
1_923744	1	923744	0
1_923955	1	923955	0
1_923990	1	923990	0
1_924533	1	924533	0
1_930314	1	930314	0
1_931042	1	931042	0
1_935859	1	935859	0
1_943364	1	943364	0
1_943365	1	943365	0
1_943896	1	943896	0
1_943991	1	943991	0
1_952062	1	952062	0
1_954071	1	954071	0
1_957132	1	957132	0
1_957189	1	957189	0
1_957213	1	957213	0
1_961906	1	961906	0
1_961957	1	961957	0
1_962358	1	962358	0
1_962739	1	962739	0
1_963349	1	963349	0
1_963472	1	963472	0
1_963475	1	963475	0
1_964135	1	964135	0
1_965059	1	965059	0
1_965125	1	965125	0
1_966211	1	966211	0
1_966708	1	966708	0
1_970911	1	970911	0
1_970922	1	970922	0
1_970932	1	970932	0
1_971132	1	971132	0
1_973289	1	973289	0
1_973549	1	973549	0
1_973940	1	973940	0
1_973946	1	973946	0
1_974557	1	974557	0
1_976536	1	976536	0
1_978945	1	978945	0
1_978996	1	978996	0
1_979347	1	979347	0
1_979355	1	979355	0
1_979560	1	979560	0
1_979654	1	979654	0
1_980008	1	980008	0
1_980234	1	980234	0
1_981154	1	981154	0
1_982112	1	982112	0
1_999842	1	999842	0
1_1014042	1	1014042	0
1_1014058	1	1014058	0
1_1014217	1	1014217	0
1_1014228	1	1014228	0
1_1020239	1	1020239	0
1_1022260	1	1022260	0
1_1041183	1	1041183	0
1_1041249	1	1041249	0
1_1041648	1	1041648	0
1_1043354	1	1043354	0
1_1043839	1	1043839	0
1_1045393	1	1045393	0
1_1045965	1	1045965	0
1_1046551	1	1046551	0
1_1046845	1	1046845	0
1_1046854	1	1046854	0
1_1047403	1	1047403	0
1_1047626	1	1047626	0
1_1048126	1	1048126	0
1_1048900	1	1048900	0
1_1049046	1	1049046	0
1_1049746	1	1049746	0
1_1049791	1	1049791	0
1_1050785	1	1050785	0
1_1051538	1	1051538	0
1_1052014	1	1052014	0
1_1053768	1	1053768	0
1_1053827	1	1053827	0
1_1053840	1	1053840	0
1_1053915	1	1053915	0
1_1053933	1	1053933	0
1_1054917	1	1054917	0
1_1055393	1	1055393	0
1_1069443	1	1069443	0
1_1069566	1	1069566	0
1_1069577	1	1069577	0
1_1071916	1	1071916	0
1_1072052	1	1072052	0
1_1072237	1	1072237	0
1_1072454	1	1072454	0
1_1083934	1	1083934	0
1_1084003	1	1084003	0
1_1087154	1	1087154	0
1_1087155	1	1087155	0
1_1091167	1	1091167	0
1_1091290	1	1091290	0
1_1091576	1	1091576	0
1_1180168	1	1180168	0
1_1180802	1	1180802	0
1_1185041	1	1185041	0
1_1185051	1	1185051	0
1_1185123	1	1185123	0
1_1188877	1	1188877	0
1_1194632	1	1194632	0
1_1196705	1	1196705	0
1_1197558	1	1197558	0
1_1197586	1	1197586	0
1_1197745	1	1197745	0
1_1203822	1	1203822	0
1_1203836	1	1203836	0
1_1203871	1	1203871	0
1_1204015	1	1204015	0
1_1204185	1	1204185	0
1_1206396	1	1206396	0
1_1211585	1	1211585	0
1_1211644	1	1211644	0
1_1212898	1	1212898	0
1_1213249	1	1213249	0
1_1213734	1	1213734	0
1_1214100	1	1214100	0
1_1217629	1	1217629	0
1_1218703	1	1218703	0
1_1218967	1	1218967	0
1_1228651	1	1228651	0
1_1228685	1	1228685	0
1_1232416	1	1232416	0
1_1232800	1	1232800	0
1_1242506	1	1242506	0
1_1242516	1	1242516	0
1_1242601	1	1242601	0
1_1242864	1	1242864	0
1_1242871	1	1242871	0
1_1242875	1	1242875	0
1_1242886	1	1242886	0
1_1243468	1	1243468	0
1_1244420	1	1244420	0
1_1246651	1	1246651	0
1_1255392	1	1255392	0
1_1262318	1	1262318	0
1_1266173	1	1266173	0
1_1266225	1	1266225	0
1_1284021	1	1284021	0
1_1285442	1	1285442	0
1_1285529	1	1285529	0
1_1285594	1	1285594	0
1_1286150	1	1286150	0
1_1286952	1	1286952	0
1_1287578	1	1287578	0
1_1287983	1	1287983	0
1_1288005	1	1288005	0
1_1290683	1	1290683	0
1_1290687	1	1290687	0
1_1291289	1	1291289	0
1_1291310	1	1291310	0
1_1291396	1	1291396	0
1_1294498	1	1294498	0
1_1296589	1	1296589	0
1_1309258	1	1309258	0
1_1310642	1	1310642	0
1_1310993	1	1310993	0
1_1311058	1	1311058	0
1_1311467	1	1311467	0
1_1311527	1	1311527	0
1_1311620	1	1311620	0
1_1312114	1	1312114	0
1_1313527	1	1313527	0
1_1313807	1	1313807	0
1_1315577	1	1315577	0
1_1319056	1	1319056	0
1_1319063	1	1319063	0
1_1327457	1	1327457	0
1_1327560	1	1327560	0
1_1327577	1	1327577	0
1_1327705	1	1327705	0
1_1331666	1	1331666	0
1_1332116	1	1332116	0
1_1332124	1	1332124	0
1_1332226	1	1332226	0
1_1332271	1	1332271	0
1_1332677	1	1332677	0
