	Chromosome	Position	67RT_CM+_vs_67_PBMC.tumour
1_69511	1	69511	-0.786257863602421
1_923744	1	923744	0.83305192608546
1_923955	1	923955	0.881222630242501
1_923990	1	923990	1.03971273662253
1_924533	1	924533	0.975067830038397
1_930314	1	930314	0.639667951819159
1_931042	1	931042	1.03923223868607
1_935859	1	935859	1.01250636665769
1_943364	1	943364	0.522016363164886
1_943365	1	943365	0.575127699624449
1_943896	1	943896	1.0271126998429
1_943991	1	943991	0.646579079003955
1_952062	1	952062	0.445020520965615
1_954071	1	954071	0.980433660885519
1_957132	1	957132	0.731384120910774
1_957189	1	957189	0.830471682937387
1_957213	1	957213	0.804298653591958
1_961906	1	961906	0.623726407950137
1_961957	1	961957	0.624675237343686
1_962358	1	962358	0.537731855660723
1_962739	1	962739	1.16662484910475
1_963349	1	963349	0.758966880191503
1_963472	1	963472	0.787733519297732
1_963475	1	963475	0.724136177281132
1_964135	1	964135	0.912295905891069
1_965059	1	965059	0.567835207058092
1_965125	1	965125	0.342313472801489
1_966211	1	966211	0.448302426103336
1_966708	1	966708	0.405302888816635
1_970911	1	970911	0.455749678297347
1_970922	1	970922	0.387731254868696
1_970932	1	970932	0.427844772192898
1_971132	1	971132	0.601139722882897
1_973289	1	973289	0.516811204033625
1_973549	1	973549	1.11242094895429
1_973940	1	973940	0.767772777566844
1_973946	1	973946	0.770646673020955
1_974557	1	974557	0.448639701392046
1_976536	1	976536	0.701578553070156
1_978945	1	978945	0.546936661711296
1_978996	1	978996	0.790733926010155
1_979347	1	979347	0.382086102020411
1_979355	1	979355	0.392184549519881
1_979560	1	979560	0.534251651976065
1_979654	1	979654	0.422346520030133
1_980008	1	980008	0.577352745968676
1_980234	1	980234	0.778342019277031
1_981154	1	981154	0.758471959074852
1_982112	1	982112	0.965712155178753
1_999842	1	999842	0.989637994424234
1_1014042	1	1014042	0.557205791627186
1_1014058	1	1014058	0.619622009617401
1_1014217	1	1014217	0.612826339600518
1_1014228	1	1014228	0.560532581462943
1_1020239	1	1020239	0.910315541762828
1_1022260	1	1022260	0.693133976674089
1_1041183	1	1041183	0.391804842966593
1_1041249	1	1041249	0.429052698259065
1_1041648	1	1041648	0.523474934314636
1_1043354	1	1043354	0.490031872918025
1_1043839	1	1043839	0.784646596131241
1_1045393	1	1045393	0.786029481490792
1_1045965	1	1045965	0.902702357652953
1_1046551	1	1046551	0.955695445266837
1_1046845	1	1046845	0.372349659601195
1_1046854	1	1046854	0.339273018481438
1_1047403	1	1047403	0.609499199033798
1_1047626	1	1047626	0.739203625370074
