sample	chr	startpos	endpos	nMajor	nMinor
28RT_CM-_vs_28RT_PBMC.tumour	1	1185051	34212214	1	0
28RT_CM-_vs_28RT_PBMC.tumour	1	34757744	160546518	1	1
28RT_CM-_vs_28RT_PBMC.tumour	1	160797135	186978092	2	1
28RT_CM-_vs_28RT_PBMC.tumour	1	192812042	248745207	2	0
28RT_CM-_vs_28RT_PBMC.tumour	2	242800	241745694	1	1
28RT_CM-_vs_28RT_PBMC.tumour	3	319825	21757936	1	1
28RT_CM-_vs_28RT_PBMC.tumour	3	27256325	74364525	1	0
28RT_CM-_vs_28RT_PBMC.tumour	3	81648979	160279273	1	1
28RT_CM-_vs_28RT_PBMC.tumour	3	161503917	197985888	2	1
28RT_CM-_vs_28RT_PBMC.tumour	4	271152	188101170	1	1
28RT_CM-_vs_28RT_PBMC.tumour	5	139587	181005416	1	1
28RT_CM-_vs_28RT_PBMC.tumour	6	564145	64523772	1	1
28RT_CM-_vs_28RT_PBMC.tumour	6	64912570	170553212	1	0
28RT_CM-_vs_28RT_PBMC.tumour	7	775151	159058543	1	1
28RT_CM-_vs_28RT_PBMC.tumour	8	615232	42187436	1	0
28RT_CM-_vs_28RT_PBMC.tumour	8	47122336	144930861	1	1
28RT_CM-_vs_28RT_PBMC.tumour	9	271638	19063110	1	0
28RT_CM-_vs_28RT_PBMC.tumour	9	19786219	33026574	2	0
28RT_CM-_vs_28RT_PBMC.tumour	9	33618360	138058238	1	1
28RT_CM-_vs_28RT_PBMC.tumour	10	1000772	37216231	1	0
28RT_CM-_vs_28RT_PBMC.tumour	10	37602027	133527063	1	1
28RT_CM-_vs_28RT_PBMC.tumour	11	1086825	50033053	1	0
28RT_CM-_vs_28RT_PBMC.tumour	11	55343762	57334622	1	1
28RT_CM-_vs_28RT_PBMC.tumour	11	57369898	60335034	1	0
28RT_CM-_vs_28RT_PBMC.tumour	11	60335623	134374229	1	1
28RT_CM-_vs_28RT_PBMC.tumour	12	202783	63560524	1	1
28RT_CM-_vs_28RT_PBMC.tumour	12	64482007	72022455	3	1
28RT_CM-_vs_28RT_PBMC.tumour	12	75366962	133202210	1	0
28RT_CM-_vs_28RT_PBMC.tumour	13	19824529	114324544	1	1
28RT_CM-_vs_28RT_PBMC.tumour	14	19921447	106657835	1	1
28RT_CM-_vs_28RT_PBMC.tumour	15	19987698	101684138	1	1
28RT_CM-_vs_28RT_PBMC.tumour	16	58586	12908502	1	0
28RT_CM-_vs_28RT_PBMC.tumour	16	18838536	90074947	1	1
28RT_CM-_vs_28RT_PBMC.tumour	17	562535	83048511	1	1
28RT_CM-_vs_28RT_PBMC.tumour	18	224184	80138359	1	0
28RT_CM-_vs_28RT_PBMC.tumour	19	282753	42764083	1	1
28RT_CM-_vs_28RT_PBMC.tumour	19	42868234	44892457	2	1
28RT_CM-_vs_28RT_PBMC.tumour	19	46469710	48744529	1	0
28RT_CM-_vs_28RT_PBMC.tumour	19	48796276	58478128	1	1
28RT_CM-_vs_28RT_PBMC.tumour	20	158815	64086577	1	1
28RT_CM-_vs_28RT_PBMC.tumour	21	14109044	42443411	1	1
28RT_CM-_vs_28RT_PBMC.tumour	21	42485777	46602317	2	1
28RT_CM-_vs_28RT_PBMC.tumour	22	16784014	50577409	1	0
28RT_CM-_vs_28RT_PBMC.tumour	X	1389431	154830834	1	0
