sample	chr	startpos	endpos	nMajor	nMinor
96RT_CM+_vs_96RT_PBMC.tumour	1	1185051	34757744	1	0
96RT_CM+_vs_96RT_PBMC.tumour	1	35398970	119895261	1	1
96RT_CM+_vs_96RT_PBMC.tumour	1	145873487	159016687	2	1
96RT_CM+_vs_96RT_PBMC.tumour	1	159020457	248745207	1	1
96RT_CM+_vs_96RT_PBMC.tumour	2	242800	241745694	1	1
96RT_CM+_vs_96RT_PBMC.tumour	3	319825	21757936	1	1
96RT_CM+_vs_96RT_PBMC.tumour	3	27256325	74364525	1	0
96RT_CM+_vs_96RT_PBMC.tumour	3	81648979	197985888	1	1
96RT_CM+_vs_96RT_PBMC.tumour	4	271152	188101170	1	0
96RT_CM+_vs_96RT_PBMC.tumour	5	139587	43609241	1	1
96RT_CM+_vs_96RT_PBMC.tumour	5	52861540	103555994	1	0
96RT_CM+_vs_96RT_PBMC.tumour	5	109378269	181005416	1	1
96RT_CM+_vs_96RT_PBMC.tumour	6	564145	57488735	1	1
96RT_CM+_vs_96RT_PBMC.tumour	6	61681011	170553212	1	0
96RT_CM+_vs_96RT_PBMC.tumour	7	775151	159058543	1	1
96RT_CM+_vs_96RT_PBMC.tumour	8	615232	11304987	1	0
96RT_CM+_vs_96RT_PBMC.tumour	8	11751907	144930861	1	1
96RT_CM+_vs_96RT_PBMC.tumour	9	271638	38615701	2	0
96RT_CM+_vs_96RT_PBMC.tumour	9	69228107	138058238	1	1
96RT_CM+_vs_96RT_PBMC.tumour	10	1000772	133527063	1	1
96RT_CM+_vs_96RT_PBMC.tumour	11	1086825	5323672	2	0
96RT_CM+_vs_96RT_PBMC.tumour	11	5323898	134374229	1	1
96RT_CM+_vs_96RT_PBMC.tumour	12	202783	11031233	2	0
96RT_CM+_vs_96RT_PBMC.tumour	12	11133489	20020830	1	0
96RT_CM+_vs_96RT_PBMC.tumour	12	20707159	25158555	2	1
96RT_CM+_vs_96RT_PBMC.tumour	12	25518825	30728875	2	2
96RT_CM+_vs_96RT_PBMC.tumour	12	31102329	49544030	1	1
96RT_CM+_vs_96RT_PBMC.tumour	12	49758410	72022455	2	1
96RT_CM+_vs_96RT_PBMC.tumour	12	75366962	133202210	1	0
96RT_CM+_vs_96RT_PBMC.tumour	13	19824529	114324544	1	0
96RT_CM+_vs_96RT_PBMC.tumour	14	19921447	65561728	1	1
96RT_CM+_vs_96RT_PBMC.tumour	14	67204984	106657835	1	0
96RT_CM+_vs_96RT_PBMC.tumour	15	19987698	101684138	1	1
96RT_CM+_vs_96RT_PBMC.tumour	16	58586	90074947	1	0
96RT_CM+_vs_96RT_PBMC.tumour	17	562535	21300945	1	0
96RT_CM+_vs_96RT_PBMC.tumour	17	27301794	83048511	1	1
96RT_CM+_vs_96RT_PBMC.tumour	18	224184	14752958	1	1
96RT_CM+_vs_96RT_PBMC.tumour	18	21574182	80138359	1	0
96RT_CM+_vs_96RT_PBMC.tumour	19	282753	23654343	1	0
96RT_CM+_vs_96RT_PBMC.tumour	19	29708758	58478128	1	1
96RT_CM+_vs_96RT_PBMC.tumour	20	158815	64086577	1	1
96RT_CM+_vs_96RT_PBMC.tumour	21	14109044	46602317	1	1
96RT_CM+_vs_96RT_PBMC.tumour	22	16784014	29359899	1	0
96RT_CM+_vs_96RT_PBMC.tumour	22	29441548	50577409	1	1
96RT_CM+_vs_96RT_PBMC.tumour	X	1389431	57910281	1	0
96RT_CM+_vs_96RT_PBMC.tumour	X	64192810	64192810	2	0
96RT_CM+_vs_96RT_PBMC.tumour	X	70258899	154830834	1	0
