sample	chr	startpos	endpos	nMajor	nMinor
81B_T1_vs_81B_PBMC.tumour	1	1185051	15506048	2	2
81B_T1_vs_81B_PBMC.tumour	1	15518120	30953968	2	0
81B_T1_vs_81B_PBMC.tumour	1	31425387	119895261	2	2
81B_T1_vs_81B_PBMC.tumour	1	145873487	162274222	4	2
81B_T1_vs_81B_PBMC.tumour	1	162397281	248745207	4	1
81B_T1_vs_81B_PBMC.tumour	2	242800	90221099	4	2
81B_T1_vs_81B_PBMC.tumour	2	96278815	198085516	2	2
81B_T1_vs_81B_PBMC.tumour	2	200572611	208121913	1	1
81B_T1_vs_81B_PBMC.tumour	2	208142835	214767531	2	0
81B_T1_vs_81B_PBMC.tumour	2	214767532	215340444	4	0
81B_T1_vs_81B_PBMC.tumour	2	215347616	222571888	3	0
81B_T1_vs_81B_PBMC.tumour	2	222694370	231520939	4	0
81B_T1_vs_81B_PBMC.tumour	2	232379271	237586099	2	0
81B_T1_vs_81B_PBMC.tumour	2	237760159	241745694	2	2
81B_T1_vs_81B_PBMC.tumour	3	319825	197985888	2	2
81B_T1_vs_81B_PBMC.tumour	4	271152	177353411	2	2
81B_T1_vs_81B_PBMC.tumour	4	182680694	188101170	2	1
81B_T1_vs_81B_PBMC.tumour	5	139587	177409531	2	2
81B_T1_vs_81B_PBMC.tumour	5	178185733	181005416	2	1
81B_T1_vs_81B_PBMC.tumour	6	564145	170553212	2	0
81B_T1_vs_81B_PBMC.tumour	7	775151	57121011	4	0
81B_T1_vs_81B_PBMC.tumour	7	64015061	65960907	3	1
81B_T1_vs_81B_PBMC.tumour	7	71273743	142138562	3	0
81B_T1_vs_81B_PBMC.tumour	7	142196259	159058543	2	0
81B_T1_vs_81B_PBMC.tumour	8	615232	144930861	2	2
81B_T1_vs_81B_PBMC.tumour	9	271638	87728865	2	2
81B_T1_vs_81B_PBMC.tumour	9	87886599	104134528	1	1
81B_T1_vs_81B_PBMC.tumour	9	104505023	138058238	2	2
81B_T1_vs_81B_PBMC.tumour	10	1000772	133527063	2	2
81B_T1_vs_81B_PBMC.tumour	11	1086825	134374229	2	2
81B_T1_vs_81B_PBMC.tumour	12	202783	133202210	2	2
81B_T1_vs_81B_PBMC.tumour	13	19824529	53034497	2	2
81B_T1_vs_81B_PBMC.tumour	13	66782796	67228207	3	2
81B_T1_vs_81B_PBMC.tumour	13	72775221	99295924	2	2
81B_T1_vs_81B_PBMC.tumour	13	99884978	102687015	2	0
81B_T1_vs_81B_PBMC.tumour	13	102731067	108335469	1	1
81B_T1_vs_81B_PBMC.tumour	13	109009011	114324544	2	2
81B_T1_vs_81B_PBMC.tumour	14	19921447	24819307	2	2
81B_T1_vs_81B_PBMC.tumour	14	30630532	32823708	2	0
81B_T1_vs_81B_PBMC.tumour	14	32823916	106657835	2	2
81B_T1_vs_81B_PBMC.tumour	15	19987698	59207917	2	2
81B_T1_vs_81B_PBMC.tumour	15	61174799	101684138	4	2
81B_T1_vs_81B_PBMC.tumour	16	58586	90074947	2	2
81B_T1_vs_81B_PBMC.tumour	17	562535	83048511	2	2
81B_T1_vs_81B_PBMC.tumour	18	224184	14752958	3	2
81B_T1_vs_81B_PBMC.tumour	18	21574182	80138359	2	2
81B_T1_vs_81B_PBMC.tumour	19	282753	57445460	2	2
81B_T1_vs_81B_PBMC.tumour	19	57455681	58478128	2	0
81B_T1_vs_81B_PBMC.tumour	20	158815	43460871	2	2
81B_T1_vs_81B_PBMC.tumour	20	43465875	64086577	6	2
81B_T1_vs_81B_PBMC.tumour	21	14109044	46602317	2	2
81B_T1_vs_81B_PBMC.tumour	22	16784014	50577409	2	2
81B_T1_vs_81B_PBMC.tumour	X	1389431	57910281	2	2
81B_T1_vs_81B_PBMC.tumour	X	64192810	64192810	5	0
81B_T1_vs_81B_PBMC.tumour	X	70258899	154830834	2	2
