	Chromosome	Position	63RT3_TISSUE_vs_63RT3_PBMC.tumour
1_923744	1	923744	-0.0746901639745112
1_923955	1	923955	0.269504614875926
1_923990	1	923990	0.210357621451433
1_924533	1	924533	-0.0486185678080069
1_930314	1	930314	0.318520291974757
1_931042	1	931042	0.119275898406935
1_935859	1	935859	-0.0794436939451457
1_943364	1	943364	0.0136657104463358
1_943365	1	943365	0.0367493235593771
1_943896	1	943896	0.232978738850812
1_943991	1	943991	-0.0643368015549374
1_952062	1	952062	-0.260509252992658
1_954071	1	954071	0.0993955844722198
1_957132	1	957132	0.214198697819044
1_957189	1	957189	0.461124687417557
1_957213	1	957213	0.576933140068173
1_961906	1	961906	0.0867291726360593
1_961957	1	961957	-0.0495281160408582
1_962358	1	962358	-0.351618753635409
1_962739	1	962739	-0.285894571412572
1_963349	1	963349	0.545278786574558
1_963349.1	1	963349	0.545278786574558
1_963472	1	963472	0.305128524606647
1_963475	1	963475	0.27670011628013
1_964135	1	964135	0.0136657104463358
1_965059	1	965059	-0.0336400043320208
1_965125	1	965125	-0.203145678626812
1_966211	1	966211	0.0691608230380394
1_966708	1	966708	-0.0547212645339142
1_970911	1	970911	0.0961278706383089
1_970922	1	970922	-0.00651217149129441
1_970932	1	970932	0.0353607815456549
1_971132	1	971132	0.0332945171952684
1_973289	1	973289	-0.226285082274417
1_973549	1	973549	0.195869041667085
1_973940	1	973940	0.194237956088157
1_973946	1	973946	0.226659433780534
1_974557	1	974557	0.0927372814375346
1_976536	1	976536	0.0750662551104792
1_978945	1	978945	-0.27756558721811
1_978996	1	978996	-0.0429178179200316
1_979347	1	979347	-0.123837813303599
1_979355	1	979355	-0.19655199694401
1_979560	1	979560	0.0733719565706034
1_979654	1	979654	-0.267747224702312
1_980008	1	980008	-0.0438197842144242
1_980234	1	980234	0.309121593972507
1_981154	1	981154	-0.20246772041843
1_982112	1	982112	-0.120635381265255
1_999842	1	999842	-0.186103801929442
1_1014042	1	1014042	-0.275840906748649
1_1014058	1	1014058	-0.0676343916555124
1_1014217	1	1014217	-0.0191242246713337
1_1014228	1	1014228	-0.0511854339036321
1_1020239	1	1020239	-0.348904368938372
1_1022260	1	1022260	0.346241049533207
1_1041183	1	1041183	0.325609716761076
1_1041249	1	1041249	-0.0910316682203574
1_1041648	1	1041648	-0.0375596129088372
1_1043354	1	1043354	-0.26285192475108
1_1043839	1	1043839	-0.21765983566012
1_1045393	1	1045393	0.0136657104463358
1_1045965	1	1045965	0.324594806384441
1_1046551	1	1046551	0.0709988855122875
1_1046845	1	1046845	-0.731404933356926
1_1046854	1	1046854	-0.657270013384673
1_1047403	1	1047403	0.0833746822577403
1_1047626	1	1047626	0.0858154962021712
1_1048126	1	1048126	0.0286160519123073
1_1048900	1	1048900	-0.471761116723906
1_1049046	1	1049046	-0.316482891245995
1_1049746	1	1049746	-0.292437417279344
1_1049791	1	1049791	-0.205106395211415
1_1050785	1	1050785	-0.45488729815951
1_1051538	1	1051538	-0.0858699631045786
1_1052014	1	1052014	-0.239100359933631
1_1053768	1	1053768	-0.0477348342178074
1_1053827	1	1053827	-0.34247809977894
1_1053840	1	1053840	-0.311910161456171
1_1053915	1	1053915	-0.0028224123422331
1_1053933	1	1053933	-0.0049499677210111
1_1054917	1	1054917	-0.26095666966267
1_1055393	1	1055393	-0.536168566871219
1_1069443	1	1069443	-0.159870544548355
1_1069566	1	1069566	0.0263767621958899
1_1069577	1	1069577	0.0651960110864179
1_1071916	1	1071916	-0.147489081368245
1_1072052	1	1072052	-0.138337382998714
1_1072237	1	1072237	-0.113246402035884
1_1072454	1	1072454	0.254673809950131
1_1083934	1	1083934	-0.362482775438913
1_1084003	1	1084003	-0.382262965884803
1_1087154	1	1087154	-0.430636383337703
1_1087155	1	1087155	-0.45448312529207
1_1091167	1	1091167	-0.0676343916555124
1_1091290	1	1091290	-0.246201416308775
1_1091576	1	1091576	-0.119600820417128
1_1180168	1	1180168	-0.191803407853644
1_1180802	1	1180802	0.122190167224505
1_1185041	1	1185041	0.0661331303404712
1_1185051	1	1185051	0.114949046283517
1_1185123	1	1185123	0.102474977404192
1_1188877	1	1188877	-0.442399057092563
1_1194632	1	1194632	-0.173612857746245
1_1196705	1	1196705	-0.208726710890112
1_1197558	1	1197558	-0.156259290995977
1_1197586	1	1197586	-0.130724198888839
1_1197745	1	1197745	-0.211893989968795
1_1203822	1	1203822	-0.305156473573205
1_1203836	1	1203836	-0.17897936749606
1_1203871	1	1203871	-0.0397735485151246
1_1204015	1	1204015	-0.0707264768440367
1_1204185	1	1204185	0.412215086936611
1_1206396	1	1206396	0.279740570600181
1_1211585	1	1211585	0.186502307308551
