	Chromosome	Position	96RT_TISSUE_vs_96RT_PBMC.tumour
1_69511	1	69511	-0.330310757892276
1_923744	1	923744	-0.0399742902051044
1_923955	1	923955	-0.148042221589556
1_923990	1	923990	-0.128725635596666
1_924533	1	924533	-0.180358404011988
1_930314	1	930314	-0.0683899723691907
1_931042	1	931042	-0.42269406921122
1_935859	1	935859	-0.12367240787038
1_943364	1	943364	0.138901881537607
1_943365	1	943365	0.124255105573205
1_943896	1	943896	-0.447124422875026
1_943991	1	943991	-0.196317709702146
1_952062	1	952062	-0.192004239227465
1_954071	1	954071	0.0941351171968698
1_957132	1	957132	-0.00761034230076853
1_957189	1	957189	-0.342129273705859
1_957213	1	957213	-0.238314973811503
1_961906	1	961906	0.116392987800235
1_961957	1	961957	0.187680485714839
1_962358	1	962358	0.124255105573205
1_962739	1	962739	-0.259755498085014
1_963349	1	963349	-0.200270100800196
1_963472	1	963472	0.263417853244831
1_963475	1	963475	0.387289511406999
1_964135	1	964135	-0.0891485325359882
1_965059	1	965059	0.249785987657064
1_965125	1	965125	0.0346178930885287
1_966211	1	966211	-0.250140409208293
1_966708	1	966708	0.0717876856790699
1_970911	1	970911	-0.244978704092514
1_970922	1	970922	-0.201973126747783
1_970932	1	970932	-0.11951096655581
1_971132	1	971132	0.274002225077887
1_973289	1	973289	-0.271923366454323
1_973549	1	973549	-0.186445733890903
1_973940	1	973940	0.0615193502252426
1_973946	1	973946	0.0352039177560772
1_974557	1	974557	0.266274110445633
1_976536	1	976536	-0.15814462512752
1_978945	1	978945	-0.343249813599774
1_978996	1	978996	-0.224894458049182
1_979347	1	979347	0.332654254830153
1_979355	1	979355	0.275321079764202
1_979560	1	979560	-0.153278869955704
1_979654	1	979654	-0.308704301702901
1_980008	1	980008	-0.194274412852292
1_980234	1	980234	-0.327308269730753
1_981154	1	981154	-0.100559978030099
1_982112	1	982112	-0.350283405454301
1_999842	1	999842	-0.367744375520523
1_1014042	1	1014042	-0.108579062484889
1_1014058	1	1014058	-0.230409775726157
1_1014217	1	1014217	-0.0515947298262125
1_1014228	1	1014228	0.154249845871043
1_1020239	1	1020239	-0.433740347547682
1_1022260	1	1022260	-0.308704301702901
1_1041183	1	1041183	0.264915512510323
1_1041249	1	1041249	0.233879596747704
1_1041648	1	1041648	0.0146306143987071
1_1043354	1	1043354	-0.598904689067971
1_1043839	1	1043839	0.238766986696911
1_1045393	1	1045393	-0.260829171604011
1_1045965	1	1045965	0.36276719227293
1_1046551	1	1046551	0.313288929963222
1_1046845	1	1046845	-0.0701832541922416
1_1046854	1	1046854	-0.325270770090929
1_1047403	1	1047403	-0.0981373157632427
1_1047626	1	1047626	-0.0981373157632427
1_1048126	1	1048126	0.709217606294361
1_1048900	1	1048900	0.102228799243206
1_1049046	1	1049046	-0.290782393705639
1_1049746	1	1049746	-0.247713671813753
1_1049791	1	1049791	-0.285000041111632
1_1050785	1	1050785	0.172189582636907
1_1051538	1	1051538	-0.192004239227465
1_1052014	1	1052014	0.028677445590974
1_1053768	1	1053768	-0.129501486672578
1_1053827	1	1053827	-0.408351990086815
1_1053840	1	1053840	-0.303606434063222
1_1053915	1	1053915	-0.144931527242184
1_1053933	1	1053933	-0.14225986899555
1_1054917	1	1054917	0.00774109684678009
1_1055393	1	1055393	-0.21483354047234
1_1069443	1	1069443	-0.0548532180344429
1_1069566	1	1069566	0.0980711737695504
1_1069577	1	1069577	0.102560034473886
1_1071916	1	1071916	-0.142936925734245
1_1072052	1	1072052	0.118180591163521
1_1072237	1	1072237	0.149129774212235
1_1072454	1	1072454	0.290133273952816
1_1083934	1	1083934	-0.186085015038945
1_1084003	1	1084003	-0.190255517751674
1_1087154	1	1087154	0.0676715772068377
1_1087155	1	1087155	0.0867804001545425
1_1091167	1	1091167	0.170351520162659
1_1091290	1	1091290	0.106553103839746
1_1091576	1	1091576	0.174440862741422
1_1180168	1	1180168	-0.031395764886989
1_1180802	1	1180802	-0.220393065814241
1_1185041	1	1185041	-0.00390124591747714
1_1185051	1	1185051	-0.0370258014598556
1_1185123	1	1185123	-0.290782393705639
1_1188877	1	1188877	-0.339145415267038
1_1194632	1	1194632	-0.365329347070693
1_1196705	1	1196705	-0.290782393705639
1_1197558	1	1197558	0.0618892246128315
1_1197586	1	1197586	0.119682375783381
1_1197745	1	1197745	0.0947683410728244
1_1203822	1	1203822	-0.095766411300496
1_1203836	1	1203836	-0.138779300260589
1_1203871	1	1203871	-0.30826982043448
1_1204015	1	1204015	-0.0450259793036803
1_1204185	1	1204185	-0.330310757892276
1_1206396	1	1206396	-0.16691073554347
1_1211585	1	1211585	-0.531790493209434
1_1211644	1	1211644	-0.318263130127746
1_1212898	1	1212898	-0.222610891064059
1_1213249	1	1213249	0.168649224931659
1_1213734	1	1213734	-0.290782393705639
1_1214100	1	1214100	-0.0247075335517938
1_1217629	1	1217629	0.220470420832508
1_1218703	1	1218703	0.152488786302149
1_1218967	1	1218967	-0.344420357307712
1_1228651	1	1228651	0.270775502680574
1_1228685	1	1228685	0.194644433464603
1_1232416	1	1232416	-0.178307664447226
1_1232800	1	1232800	-0.596590823229724
1_1242506	1	1242506	-0.147418218534461
1_1242516	1	1242516	-0.148763388833211
1_1242601	1	1242601	-0.143678099673428
1_1242864	1	1242864	0.0682986995991896
1_1242871	1	1242871	0.0753455050922587
1_1242875	1	1242875	0.107766982784636
1_1242886	1	1242886	0.107181592214264
1_1243468	1	1243468	0.221116644825794
1_1244420	1	1244420	-0.169220413824725
1_1246651	1	1246651	0.0571409097146683
1_1255392	1	1255392	0.27033336506115
1_1262318	1	1262318	-0.168298387180644
1_1266173	1	1266173	-0.379591660663495
1_1266225	1	1266225	-0.204070760512308
1_1284021	1	1284021	-0.306049150358949
1_1285442	1	1285442	-0.177571783257648
1_1285529	1	1285529	-0.105226740549562
1_1285594	1	1285594	-0.135504168227728
1_1286150	1	1286150	-0.00698942770504733
1_1286952	1	1286952	-0.691880702026609
1_1287578	1	1287578	-0.076043544912626
1_1287983	1	1287983	0.0687599929815016
1_1288005	1	1288005	-0.0663508270955923
1_1290683	1	1290683	-0.0640115318586163
1_1290687	1	1290687	-0.0329846362379918
1_1291289	1	1291289	-0.188902779686425
1_1291310	1	1291310	-0.226652056285923
1_1291396	1	1291396	-0.00698942770504733
1_1294498	1	1294498	0.307600622777839
1_1296589	1	1296589	-0.111812252660319
1_1309258	1	1309258	-0.144392906724115
1_1310642	1	1310642	-0.362932179461474
1_1310993	1	1310993	-0.0392436267096742
1_1311058	1	1311058	-0.0891485325359882
1_1311467	1	1311467	0.21041174932292
1_1311527	1	1311527	-0.0783740609418127
1_1311620	1	1311620	-0.354912731125354
1_1312114	1	1312114	-0.0645065378819626
1_1313527	1	1313527	0.0628545609090617
1_1313807	1	1313807	0.00241398263840748
1_1315577	1	1315577	0.0346178930885287
1_1319056	1	1319056	0.21238601585187
1_1319063	1	1319063	0.158202437496543
1_1327457	1	1327457	-0.0376634567369274
1_1327560	1	1327560	0.0311457011817237
1_1327577	1	1327577	0.0462525935719321
1_1327705	1	1327705	0.188385442992921
1_1331666	1	1331666	-0.21483354047234
1_1332116	1	1332116	-0.0750537026502014
1_1332124	1	1332124	-0.0316951723885077
1_1332226	1	1332226	-0.279975638749056
1_1332271	1	1332271	-0.383040901557627
1_1332677	1	1332677	-0.533143231274683
1_1333466	1	1333466	-0.138779300260589
1_1334123	1	1334123	-0.313150206734093
1_1334174	1	1334174	0.0811863836813192
1_1334422	1	1334422	0.00139835778767159
1_1336134	1	1336134	0.202257617574478
1_1336256	1	1336256	-0.195204733723408
1_1336473	1	1336473	0.0173399016566932
1_1338022	1	1338022	-0.0182565388945471
1_1339592	1	1339592	0.0450848921395977
1_1340503	1	1340503	-0.103696841105143
1_1342153	1	1342153	-0.0879655107059516
1_1353897	1	1353897	-0.498107366953145
1_1354066	1	1354066	-0.0479258698094751
1_1355028	1	1355028	0.0842570376412863
1_1387355	1	1387355	0.199745305157469
1_1393431	1	1393431	-0.332123189086538
1_1399095	1	1399095	-0.0856679638010264
1_1405744	1	1405744	0.0660099645372519
1_1405858	1	1405858	-0.200985723354993
1_1419135	1	1419135	-0.0234985148704868
1_1419136	1	1419136	0.0103871410149265
1_1419158	1	1419158	-0.0238435334159285
1_1419399	1	1419399	-0.170100911283176
1_1419540	1	1419540	-0.109335522368107
1_1420066	1	1420066	-0.0506483899819238
1_1420173	1	1420173	-0.299050009689239
1_1420283	1	1420283	-0.103696841105143
1_1420931	1	1420931	-0.209862398322071
1_1426164	1	1426164	0.382716781617175
1_1426253	1	1426253	0.230754726873884
1_1426316	1	1426316	-0.092556283499943
1_1426353	1	1426353	0.0363823495478708
1_1434873	1	1434873	-0.0563171400686156
1_1434897	1	1434897	-0.0856679638010264
1_1434899	1	1434899	-0.0931017258659443
1_1436888	1	1436888	-0.0434723401648612
1_1436889	1	1436889	-0.0750537026502014
1_1437061	1	1437061	-0.16525151162178
1_1437288	1	1437288	-0.167399978200357
1_1439581	1	1439581	0.0916872431167746
1_1439682	1	1439682	0.339983796628642
1_1439715	1	1439715	0.0903077736498678
1_1452367	1	1452367	0.247111853358739
1_1455506	1	1455506	-0.247193125157956
1_1455812	1	1455812	-0.138779300260589
1_1455828	1	1455828	-0.179361111037216
1_1457141	1	1457141	-0.170488159987927
1_1457142	1	1457142	-0.15814462512752
1_1460831	1	1460831	-0.0667421194877085
1_1460864	1	1460864	0.0211616126091018
1_1468408	1	1468408	-0.0563171400686156
1_1468434	1	1468434	-0.0933363294994216
1_1477343	1	1477343	0.0385252315473213
1_1478568	1	1478568	-0.0671104201426182
1_1485152	1	1485152	-0.477867946306134
1_1485808	1	1485808	-0.105226740549562
1_1487887	1	1487887	-0.151057630039025
1_1489782	1	1489782	-0.315444447939908
1_1490287	1	1490287	0.307119162723016
1_1490346	1	1490346	0.104626298824273
1_1490373	1	1490373	-0.00988156707833124
1_1495604	1	1495604	0.35478687171967
1_1495695	1	1495695	0.108313561704184
1_1495725	1	1495725	0.0282860470424832
1_1495783	1	1495783	-0.119016045439159
1_1495793	1	1495793	-0.0792782885119268
1_1512312	1	1512312	0.0417929453812322
1_1523889	1	1523889	-0.120857392263326
1_1533961	1	1533961	-0.394405024779796
1_1535427	1	1535427	-0.41511052870784
