	Chromosome	Position	67B_T1_vs_67_PBMC.tumour
1_69511	1	69511	-0.437854879575824
1_923744	1	923744	0.38268403147238
1_923955	1	923955	0.656963603196543
1_923990	1	923990	0.758752164518994
1_924533	1	924533	0.761905351407252
1_930314	1	930314	0.398877200883312
1_931042	1	931042	0.473077090891458
1_935859	1	935859	0.730420384647396
1_943364	1	943364	0.353419436967185
1_943365	1	943365	0.383447160313706
1_943896	1	943896	0.513019207619429
1_943991	1	943991	0.403255641393887
1_952062	1	952062	0.130767608088748
1_954071	1	954071	0.842032375265307
1_957132	1	957132	0.691472698689926
1_957189	1	957189	0.604074650781982
1_957213	1	957213	0.64568581596688
1_961906	1	961906	0.443056649451862
1_961957	1	961957	0.445765936709848
1_962358	1	962358	0.264130200619961
1_962739	1	962739	0.700552871744225
1_963349	1	963349	0.268237381033546
1_963472	1	963472	0.536674432908058
1_963475	1	963475	0.473077090891458
1_964135	1	964135	0.635701727394258
1_965059	1	965059	0.513315114715305
1_965125	1	965125	0.372210700242871
1_966211	1	966211	-0.0535647637868728
1_966708	1	966708	0.233195143821783
1_970911	1	970911	0.349080501242848
1_970922	1	970922	0.305491232695165
1_970932	1	970932	0.418603605727323
1_971132	1	971132	0.0533631044031406
1_973289	1	973289	0.454785942033968
1_973549	1	973549	0.568314887664383
1_973940	1	973940	0.406530773426747
1_973946	1	973946	0.475866209201963
1_974557	1	974557	0.500772147308149
1_976536	1	976536	0.476671754536451
1_978945	1	978945	0.0273887393957206
1_978996	1	978996	0.269027249676813
1_979347	1	979347	0.283030109075787
1_979355	1	979355	0.238972786528351
1_979560	1	979560	0.141638421372371
1_979654	1	979654	-0.041016170072405
1_980008	1	980008	0.244993557477154
1_980234	1	980234	0.348114087201426
1_981154	1	981154	0.433790009541998
1_982112	1	982112	0.523768448711121
1_999842	1	999842	0.673873218646744
1_1014042	1	1014042	0.0551851317042932
1_1014058	1	1014058	0.18656508948484
1_1014217	1	1014217	0.200704820478328
1_1014228	1	1014228	0.220664228115414
1_1020239	1	1020239	0.4881445389804
1_1022260	1	1022260	0.599175851369143
1_1041183	1	1041183	0.140745756576919
1_1041249	1	1041249	0.351823067767619
1_1041648	1	1041648	0.379995735124777
1_1043354	1	1043354	0.447786801364259
1_1043839	1	1043839	0.355250268483054
1_1045393	1	1045393	0.499994256858143
1_1045965	1	1045965	0.751178944814193
1_1046551	1	1046551	0.656542070676118
1_1046845	1	1046845	0.380810494869078
1_1046854	1	1046854	0.33614144553535
1_1047403	1	1047403	0.248116697738125
1_1047626	1	1047626	0.303719967842972
1_1048126	1	1048126	0.631763777869423
1_1048900	1	1048900	0.772874015913512
1_1049046	1	1049046	0.716413526653517
1_1049746	1	1049746	0.63049746239173
1_1049791	1	1049791	0.625648062730334
1_1050785	1	1050785	0.630087127896831
1_1051538	1	1051538	0.457886717887719
1_1052014	1	1052014	0.379210167427235
1_1053768	1	1053768	0.4881445389804
1_1053827	1	1053827	0.794506376478294
1_1053840	1	1053840	0.724867667698346
1_1053915	1	1053915	0.553498276974499
1_1053933	1	1053933	0.530410265957409
1_1054917	1	1054917	0.339201245284408
1_1055393	1	1055393	0.1539381143146
1_1069443	1	1069443	0.47336648360912
1_1069566	1	1069566	0.543853971566687
1_1069577	1	1069577	0.502151396974279
1_1071916	1	1071916	0.346788689734858
1_1072052	1	1072052	0.378520047805901
1_1072237	1	1072237	0.35093844746343
1_1072454	1	1072454	0.120824541279023
1_1083934	1	1083934	0.634664936087768
1_1084003	1	1084003	0.679625683789159
1_1087154	1	1087154	0.533948228593524
1_1087155	1	1087155	0.457447741757483
1_1091167	1	1091167	0.407526078772115
1_1091290	1	1091290	0.0249397572410457
1_1091576	1	1091576	0.611001286765933
1_1180168	1	1180168	0.358861522035433
1_1180802	1	1180802	0.568314887664383
1_1185041	1	1185041	0.436082883409256
1_1185051	1	1185051	0.409562515004719
1_1185123	1	1185123	0.683007442172614
1_1188877	1	1188877	0.448616174793762
1_1194632	1	1194632	0.397170878932909
1_1196705	1	1196705	0.723164568644597
1_1197558	1	1197558	0.458728051003665
1_1197586	1	1197586	0.626731573889705
1_1197745	1	1197745	0.348741482314983
1_1203822	1	1203822	0.358167751865348
1_1203836	1	1203836	0.357203061063179
1_1203871	1	1203871	0.591398500777424
1_1204015	1	1204015	0.801805017884161
1_1204185	1	1204185	0.453793034189623
1_1206396	1	1206396	0.638359114479888
1_1211585	1	1211585	0.51936326959112
1_1211644	1	1211644	0.440838824202043
1_1212898	1	1212898	0.367850305262688
1_1213249	1	1213249	0.439820091637018
1_1213734	1	1213734	0.429250849926831
1_1214100	1	1214100	0.364996308207535
1_1217629	1	1217629	0.441223491592907
1_1218703	1	1218703	0.501754970499053
1_1218967	1	1218967	0.666965940911108
1_1228651	1	1228651	0.572208803768874
1_1228685	1	1228685	0.600500032316525
1_1232416	1	1232416	0.387215630129619
1_1232800	1	1232800	0.355770252284282
1_1242506	1	1242506	0.538185221479995
1_1242516	1	1242516	0.554639950767306
1_1242601	1	1242601	0.719188830569756
1_1242864	1	1242864	0.0960074418116346
1_1242871	1	1242871	0.15883691372744
1_1242875	1	1242875	0.206548538128255
1_1242886	1	1242886	0.298666740116687
1_1243468	1	1243468	0.417178017626256
1_1244420	1	1244420	0.34280517581636
1_1246651	1	1246651	0.381533348349364
1_1255392	1	1255392	0.36726396303113
1_1262318	1	1262318	0.696501852193879
1_1266173	1	1266173	0.441323682227406
1_1266225	1	1266225	0.475205483272901
1_1284021	1	1284021	0.832708830310792
1_1285442	1	1285442	0.158603259983162
1_1285529	1	1285529	0.0475719475944182
1_1285594	1	1285594	0.0639663858450869
1_1286150	1	1286150	0.36123242649818
1_1286952	1	1286952	0.170555379817375
1_1287578	1	1287578	0.433696754958023
1_1287983	1	1287983	0.44739819663709
1_1288005	1	1288005	0.581253943371881
1_1290683	1	1290683	0.688894666559851
1_1290687	1	1290687	0.708743678493797
1_1291289	1	1291289	0.192688655454228
