sample	chr	startpos	endpos	nMajor	nMinor
113B_T1_vs_113B_PBMC.tumour	1	1185051	119895261	1	0
113B_T1_vs_113B_PBMC.tumour	1	145873487	248745207	2	0
113B_T1_vs_113B_PBMC.tumour	2	242800	241745694	1	1
113B_T1_vs_113B_PBMC.tumour	3	319825	74364525	1	0
113B_T1_vs_113B_PBMC.tumour	3	81648979	197985888	1	1
113B_T1_vs_113B_PBMC.tumour	4	271152	47576954	1	0
113B_T1_vs_113B_PBMC.tumour	4	47582029	188101170	1	1
113B_T1_vs_113B_PBMC.tumour	5	139587	181005416	1	1
113B_T1_vs_113B_PBMC.tumour	6	564145	28391393	1	0
113B_T1_vs_113B_PBMC.tumour	6	28515705	96551849	2	0
113B_T1_vs_113B_PBMC.tumour	6	96610677	170553212	1	0
113B_T1_vs_113B_PBMC.tumour	7	775151	159058543	1	1
113B_T1_vs_113B_PBMC.tumour	8	615232	42187436	1	0
113B_T1_vs_113B_PBMC.tumour	8	47122336	144930861	2	1
113B_T1_vs_113B_PBMC.tumour	9	271638	38615701	1	0
113B_T1_vs_113B_PBMC.tumour	9	69228107	125366503	1	1
113B_T1_vs_113B_PBMC.tumour	9	126340561	138058238	2	1
113B_T1_vs_113B_PBMC.tumour	10	1000772	27186515	1	0
113B_T1_vs_113B_PBMC.tumour	10	27397989	32848623	3	1
113B_T1_vs_113B_PBMC.tumour	10	33180253	37199761	1	0
113B_T1_vs_113B_PBMC.tumour	10	37216231	133527063	1	1
113B_T1_vs_113B_PBMC.tumour	11	1086825	134374229	1	1
113B_T1_vs_113B_PBMC.tumour	12	202783	133202210	1	1
113B_T1_vs_113B_PBMC.tumour	13	19824529	114324544	1	1
113B_T1_vs_113B_PBMC.tumour	14	19921447	106657835	1	1
113B_T1_vs_113B_PBMC.tumour	15	19987698	101684138	1	1
113B_T1_vs_113B_PBMC.tumour	16	58586	31915298	1	0
113B_T1_vs_113B_PBMC.tumour	16	46608374	90074947	1	1
113B_T1_vs_113B_PBMC.tumour	17	562535	21300945	1	0
113B_T1_vs_113B_PBMC.tumour	17	27301794	83048511	2	0
113B_T1_vs_113B_PBMC.tumour	18	224184	80138359	1	0
113B_T1_vs_113B_PBMC.tumour	19	282753	58478128	1	1
113B_T1_vs_113B_PBMC.tumour	20	158815	25686101	1	0
113B_T1_vs_113B_PBMC.tumour	20	31794512	64086577	1	1
113B_T1_vs_113B_PBMC.tumour	21	14109044	34707992	1	1
113B_T1_vs_113B_PBMC.tumour	21	36071182	46602317	2	1
113B_T1_vs_113B_PBMC.tumour	22	16784014	37182539	1	1
113B_T1_vs_113B_PBMC.tumour	22	37655992	50577409	1	0
113B_T1_vs_113B_PBMC.tumour	X	1389431	154830834	1	0
