	Chromosome	Position	28RT_T2_vs_28RT_PBMC.tumour
1_69511	1	69511	-0.326529262441749
1_923744	1	923744	-0.968195521125649
1_923955	1	923955	-0.874077591673252
1_923990	1	923990	-0.820638332711791
1_924533	1	924533	-0.966315787907426
1_930314	1	930314	-0.721102659160877
1_931042	1	931042	-1.14994595796475
1_935859	1	935859	-0.948962429687331
1_943364	1	943364	-0.990563334154104
1_943365	1	943365	-1.04303075404824
1_943896	1	943896	-1.13749543805173
1_943991	1	943991	-1.00705145694267
1_952062	1	952062	-1.03363205604599
1_954071	1	954071	-0.392544680607501
1_957132	1	957132	-0.820638332711791
1_957189	1	957189	-0.860166696898429
1_957213	1	957213	-0.769413009356618
1_961906	1	961906	-0.875086116734168
1_961957	1	961957	-0.914965715259944
1_962358	1	962358	-1.04303075404824
1_962739	1	962739	-0.748488546955956
1_963349	1	963349	-0.699783937837406
1_963472	1	963472	-0.756507995292076
1_963475	1	963475	-0.755049991084215
1_964135	1	964135	-0.791491987052275
1_965059	1	965059	-1.13825343472807
1_965125	1	965125	-0.820638332711791
1_966211	1	966211	-0.820638332711791
1_966708	1	966708	-0.832813046657893
1_970911	1	970911	-0.966489199175246
1_970922	1	970922	-0.850385676105843
1_970932	1	970932	-0.972641426156841
1_971132	1	971132	-0.61071526333756
1_973289	1	973289	-0.993703041684671
1_973549	1	973549	-0.502898034787862
1_973940	1	973940	-0.945183430650095
1_973946	1	973946	-1.0321424379055
1_974557	1	974557	-0.753524136853254
1_976536	1	976536	-0.83623518776281
1_978945	1	978945	-1.45177101486587
1_978996	1	978996	-1.05670569094532
1_979347	1	979347	-0.650713331269479
1_979355	1	979355	-0.755543304489906
1_979560	1	979560	-1.13322856301982
1_979654	1	979654	-0.981103004905037
1_980008	1	980008	-1.09128592265546
1_980234	1	980234	-0.394373578009693
1_981154	1	981154	-0.820638332711791
1_982112	1	982112	-1.08578040150758
1_999842	1	999842	-1.40560083343295
1_1014042	1	1014042	-1.05670569094532
1_1014058	1	1014058	-0.987288202121243
1_1014217	1	1014217	-0.923731825675895
1_1014228	1	1014228	-0.996488168111209
1_1020239	1	1020239	-0.744689479478493
1_1022260	1	1022260	-1.29868562951644
1_1041183	1	1041183	-0.516632145821691
1_1041249	1	1041249	-0.71935499687461
1_1041648	1	1041648	-0.764054804345424
1_1043354	1	1043354	-0.492584135027588
1_1043839	1	1043839	-0.795976278477522
1_1045393	1	1045393	-0.638435001491042
1_1045965	1	1045965	-0.757902577363828
1_1046551	1	1046551	-1.31096395929487
1_1046845	1	1046845	-1.05383750900482
1_1046854	1	1046854	-0.985383095048423
1_1047403	1	1047403	-0.862458508406418
1_1047626	1	1047626	-0.85101198175531
1_1048126	1	1048126	-1.07270162072458
1_1048900	1	1048900	-1.15128364470026
1_1049046	1	1049046	-1.00506290384922
1_1049746	1	1049746	-1.04076414707629
1_1049791	1	1049791	-0.962412293839955
1_1050785	1	1050785	-0.364958848935601
1_1051538	1	1051538	-0.690577792147418
1_1052014	1	1052014	-0.470695861654832
1_1053768	1	1053768	-0.711013841537293
1_1053827	1	1053827	-0.891027660603189
1_1053840	1	1053840	-0.952550008217372
1_1053915	1	1053915	-0.616279834205605
1_1053933	1	1053933	-0.386985155265601
1_1054917	1	1054917	-0.746637751268014
1_1055393	1	1055393	-0.923731825675895
1_1069443	1	1069443	-0.804150209923222
1_1069566	1	1069566	-1.00826533588756
1_1069577	1	1069577	-0.990563334154104
1_1071916	1	1071916	-0.902432423875439
1_1072052	1	1072052	-0.592686386033443
1_1072237	1	1072237	-1.03854336305593
1_1072454	1	1072454	-0.577367181699427
1_1083934	1	1083934	-1.05510358634881
1_1084003	1	1084003	-0.736246145421419
1_1087154	1	1087154	-0.495238045917624
1_1087155	1	1087155	-0.52325242208722
