sample	chr	startpos	endpos	nMajor	nMinor
81B_CM+_vs_81B_PBMC.tumour	1	1185051	15506048	1	1
81B_CM+_vs_81B_PBMC.tumour	1	15518120	30953968	1	0
81B_CM+_vs_81B_PBMC.tumour	1	31425387	119895261	1	1
81B_CM+_vs_81B_PBMC.tumour	1	145873487	165408315	2	1
81B_CM+_vs_81B_PBMC.tumour	1	165419892	248745207	2	0
81B_CM+_vs_81B_PBMC.tumour	2	242800	90221099	2	1
81B_CM+_vs_81B_PBMC.tumour	2	96278815	198085516	1	1
81B_CM+_vs_81B_PBMC.tumour	2	200572611	214767531	1	0
81B_CM+_vs_81B_PBMC.tumour	2	214767532	231520939	2	0
81B_CM+_vs_81B_PBMC.tumour	2	232379271	237586099	1	0
81B_CM+_vs_81B_PBMC.tumour	2	237760159	241745694	1	1
81B_CM+_vs_81B_PBMC.tumour	3	319825	197985888	1	1
81B_CM+_vs_81B_PBMC.tumour	4	271152	188101170	1	1
81B_CM+_vs_81B_PBMC.tumour	5	139587	177409531	1	1
81B_CM+_vs_81B_PBMC.tumour	5	178185733	181005416	1	0
81B_CM+_vs_81B_PBMC.tumour	6	564145	170553212	1	0
81B_CM+_vs_81B_PBMC.tumour	7	775151	57121011	2	0
81B_CM+_vs_81B_PBMC.tumour	7	64015061	65960907	2	1
81B_CM+_vs_81B_PBMC.tumour	7	71273743	142138562	2	0
81B_CM+_vs_81B_PBMC.tumour	7	142196259	159058543	1	0
81B_CM+_vs_81B_PBMC.tumour	8	615232	144930861	1	1
81B_CM+_vs_81B_PBMC.tumour	9	271638	87728865	1	1
81B_CM+_vs_81B_PBMC.tumour	9	87886599	104569223	1	0
81B_CM+_vs_81B_PBMC.tumour	9	104598570	138058238	1	1
81B_CM+_vs_81B_PBMC.tumour	10	1000772	133527063	1	1
81B_CM+_vs_81B_PBMC.tumour	11	1086825	134374229	1	1
81B_CM+_vs_81B_PBMC.tumour	12	202783	133202210	1	1
81B_CM+_vs_81B_PBMC.tumour	13	19824529	99295924	1	1
81B_CM+_vs_81B_PBMC.tumour	13	99884978	108335469	1	0
81B_CM+_vs_81B_PBMC.tumour	13	109009011	114324544	1	1
81B_CM+_vs_81B_PBMC.tumour	14	19921447	24819307	1	1
81B_CM+_vs_81B_PBMC.tumour	14	30630532	32823708	1	0
81B_CM+_vs_81B_PBMC.tumour	14	32823916	106657835	1	1
81B_CM+_vs_81B_PBMC.tumour	15	19987698	59207917	1	1
81B_CM+_vs_81B_PBMC.tumour	15	61174799	101684138	2	1
81B_CM+_vs_81B_PBMC.tumour	16	58586	90074947	1	1
81B_CM+_vs_81B_PBMC.tumour	17	562535	83048511	1	1
81B_CM+_vs_81B_PBMC.tumour	18	224184	80138359	1	1
81B_CM+_vs_81B_PBMC.tumour	19	282753	57445460	1	1
81B_CM+_vs_81B_PBMC.tumour	19	57455681	58478128	1	0
81B_CM+_vs_81B_PBMC.tumour	20	158815	43460871	1	1
81B_CM+_vs_81B_PBMC.tumour	20	43465875	64086577	3	1
81B_CM+_vs_81B_PBMC.tumour	21	14109044	46602317	1	1
81B_CM+_vs_81B_PBMC.tumour	22	16784014	50577409	1	1
81B_CM+_vs_81B_PBMC.tumour	X	1389431	57910281	1	1
81B_CM+_vs_81B_PBMC.tumour	X	64192810	64192810	2	0
81B_CM+_vs_81B_PBMC.tumour	X	70258899	154830834	1	1
