sample	chr	startpos	endpos	nMajor	nMinor
67B_T1_vs_67_PBMC.tumour	1	1185051	23520972	3	1
67B_T1_vs_67_PBMC.tumour	1	23639214	75156931	1	1
67B_T1_vs_67_PBMC.tumour	1	75206691	78927071	1	0
67B_T1_vs_67_PBMC.tumour	1	84398573	248745207	1	1
67B_T1_vs_67_PBMC.tumour	2	242800	241745694	2	1
67B_T1_vs_67_PBMC.tumour	3	319825	97876535	2	0
67B_T1_vs_67_PBMC.tumour	3	97941262	197985888	2	2
67B_T1_vs_67_PBMC.tumour	4	271152	129109497	1	1
67B_T1_vs_67_PBMC.tumour	4	134199911	188101170	2	1
67B_T1_vs_67_PBMC.tumour	5	139587	181005416	2	1
67B_T1_vs_67_PBMC.tumour	6	564145	24174793	2	0
67B_T1_vs_67_PBMC.tumour	6	24437230	37632344	2	1
67B_T1_vs_67_PBMC.tumour	6	38017249	93258133	2	0
67B_T1_vs_67_PBMC.tumour	6	96551849	170553212	2	1
67B_T1_vs_67_PBMC.tumour	7	775151	159058543	2	1
67B_T1_vs_67_PBMC.tumour	8	615232	23293365	1	0
67B_T1_vs_67_PBMC.tumour	8	23566245	40643273	1	1
67B_T1_vs_67_PBMC.tumour	8	41937416	144930861	2	1
67B_T1_vs_67_PBMC.tumour	9	271638	38615701	2	0
67B_T1_vs_67_PBMC.tumour	9	69228107	138058238	3	0
67B_T1_vs_67_PBMC.tumour	10	1000772	133527063	2	2
67B_T1_vs_67_PBMC.tumour	11	1086825	50033053	2	1
67B_T1_vs_67_PBMC.tumour	11	55343762	67628243	2	0
67B_T1_vs_67_PBMC.tumour	11	68403545	125609468	2	2
67B_T1_vs_67_PBMC.tumour	11	125747715	134374229	2	1
67B_T1_vs_67_PBMC.tumour	12	202783	40237989	2	1
67B_T1_vs_67_PBMC.tumour	12	40320071	133202210	2	2
67B_T1_vs_67_PBMC.tumour	13	19824529	67228207	3	0
67B_T1_vs_67_PBMC.tumour	13	72775221	79192053	2	1
67B_T1_vs_67_PBMC.tumour	13	91764804	114324544	3	0
67B_T1_vs_67_PBMC.tumour	14	19921447	106657835	2	1
67B_T1_vs_67_PBMC.tumour	15	19987698	101684138	2	0
67B_T1_vs_67_PBMC.tumour	16	58586	90074947	2	1
67B_T1_vs_67_PBMC.tumour	17	562535	83048511	2	0
67B_T1_vs_67_PBMC.tumour	18	224184	14752958	2	1
67B_T1_vs_67_PBMC.tumour	18	21574182	80138359	1	0
67B_T1_vs_67_PBMC.tumour	19	282753	7479588	2	0
67B_T1_vs_67_PBMC.tumour	19	8057853	10107354	1	0
67B_T1_vs_67_PBMC.tumour	19	10560316	58478128	2	1
67B_T1_vs_67_PBMC.tumour	20	158815	64086577	2	2
67B_T1_vs_67_PBMC.tumour	21	14109044	46602317	2	0
67B_T1_vs_67_PBMC.tumour	22	16784014	50577409	2	0
67B_T1_vs_67_PBMC.tumour	X	1389431	57910281	1	0
67B_T1_vs_67_PBMC.tumour	X	64192810	64192810	3	0
67B_T1_vs_67_PBMC.tumour	X	70258899	154830834	2	0
