chr	startpos	endpos	nMajor	nMinor
1	1185051	111996439	2	1
1	112520503	116545157	3	2
1	116768525	248745207	2	2
2	242800	241745694	2	1
3	319825	197985888	2	1
4	271152	51886646	1	1
4	52072077	188101170	2	1
5	139587	181005416	2	1
6	564145	61681011	3	1
6	61700680	170553212	3	0
7	775151	159058543	2	2
8	615232	67161902	2	1
8	68015357	144930861	3	1
9	271638	138058238	3	0
10	1000772	133527063	2	1
11	1086825	134374229	2	1
12	202783	133202210	3	0
13	19824529	114324544	1	1
14	19921447	106657835	2	1
15	19987698	101684138	2	0
16	58586	90074947	2	1
17	562535	21300945	2	0
17	27301794	83048511	2	1
18	224184	80138359	2	1
19	282753	58478128	2	1
20	158815	64086577	3	1
21	14109044	46602317	1	1
22	16784014	50577409	1	1
X	1389431	57910281	2	0
X	64192810	64192810	1	0
X	70258899	154830834	2	0
