chr	startpos	endpos	nMajor	nMinor
1	1185051	248745207	2	1
2	242800	241745694	2	2
3	319825	197985888	2	2
4	271152	177353411	2	2
4	182680694	188101170	3	2
5	139587	21751947	3	2
5	26988221	90485154	2	2
5	90525167	181005416	3	2
6	564145	55401827	1	1
6	56179780	170553212	2	1
7	775151	31553119	2	1
7	31572144	57121011	3	2
7	64015061	159058543	2	2
8	615232	6414878	2	0
8	6445150	41937416	1	1
8	42187436	144930861	3	0
9	271638	38615701	2	0
9	69228107	138058238	2	2
10	1000772	133527063	2	2
11	1086825	134374229	2	1
12	202783	133202210	2	1
13	19824529	53034497	2	1
13	66782796	79192053	1	2
13	91764804	114324544	2	1
14	19921447	106657835	2	1
15	19987698	101684138	2	2
16	58586	90074947	2	2
17	562535	21300945	2	0
17	27301794	83048511	2	2
18	224184	80138359	2	0
19	282753	58478128	2	2
20	158815	64086577	2	1
21	14109044	46602317	2	2
22	16784014	50577409	2	2
X	1389431	154830834	1	0
