	Chromosome	Position	113B_CM+_vs_113B_PBMC.tumour
1_69511	1	69511	0.133387821503859
1_923744	1	923744	-1.20221521028058
1_923955	1	923955	-1.04830653280532
1_923990	1	923990	-1.37815429098892
1_924533	1	924533	-1.01144123905345
1_930314	1	930314	-1.13272264813596
1_931042	1	931042	-0.787572159409084
1_935859	1	935859	-0.497115463127482
1_943364	1	943364	-0.735449428332951
1_943365	1	943365	-0.753359626190718
1_943896	1	943896	-1.13454538374277
1_943991	1	943991	-1.03945561522305
1_952062	1	952062	-1.28478801932339
1_954071	1	954071	-0.579330226415669
1_957132	1	957132	-0.876311964172801
1_957189	1	957189	-1.0071917660521
1_957213	1	957213	-1.23910131478536
1_961906	1	961906	-0.659500575099653
1_961957	1	961957	-0.946473035590202
1_962358	1	962358	-0.91782617082152
1_962739	1	962739	-1.1763655594374
1_963349	1	963349	-1.05528210521812
1_963472	1	963472	-0.613277558339007
1_963475	1	963475	-0.609703875459188
1_964135	1	964135	-0.553795134308532
1_965059	1	965059	-1.01990281780165
1_965125	1	965125	-0.991143824820227
1_966211	1	966211	-1.06148192155305
1_966708	1	966708	-1.31794367346336
1_970911	1	970911	-1.08800279780574
1_970922	1	970922	-1.02763017982626
1_970932	1	970932	-1.01076216394518
1_971132	1	971132	-0.787916848227087
1_973289	1	973289	-0.444400646329561
1_973549	1	973549	-0.737209886197389
1_973940	1	973940	-0.849977816359338
1_973946	1	973946	-0.8048899268308
1_974557	1	974557	-0.697974722914289
1_976536	1	976536	-0.980083499688266
1_978945	1	978945	-1.16101759510396
1_978996	1	978996	-1.41087661219003
1_979347	1	979347	-1.13697212113731
1_979355	1	979355	-1.12745595895645
1_979560	1	979560	-0.844125090113901
1_979654	1	979654	-0.701585976466667
1_980008	1	980008	-0.915339479529243
1_980234	1	980234	-0.63447178060813
1_981154	1	981154	-0.859438145608405
1_982112	1	982112	-1.13454538374277
1_999842	1	999842	-1.22902033015848
1_1014042	1	1014042	-0.959602307533837
1_1014058	1	1014058	-0.820338325919464
1_1014217	1	1014217	-0.771975304358065
1_1014228	1	1014228	-0.745008256757796
1_1020239	1	1020239	-0.994367725694513
1_1022260	1	1022260	-0.771975304358065
1_1041183	1	1041183	-0.801121650017582
1_1041249	1	1041249	-0.907327157252951
1_1041648	1	1041648	-1.0399085096047
1_1043354	1	1043354	-1.00644055799509
1_1043839	1	1043839	-0.783752472134419
1_1045393	1	1045393	-1.08231542497022
1_1045965	1	1045965	-1.63137697418526
1_1046551	1	1046551	-0.611510632164819
1_1046845	1	1046845	-0.470594586874789
1_1046854	1	1046854	-0.576055094382808
1_1047403	1	1047403	-0.696687177053828
1_1047626	1	1047626	-0.829690802214353
1_1048126	1	1048126	-1.15899842746731
1_1048900	1	1048900	-1.14784220635623
1_1049046	1	1049046	-0.838064494815838
1_1049746	1	1049746	-0.933256211391126
1_1049791	1	1049791	-0.842364632249463
1_1050785	1	1050785	-1.49351085795467
1_1051538	1	1051538	-0.418338349743365
1_1052014	1	1052014	-1.26230093094115
1_1053768	1	1053768	-0.884450033616478
1_1053827	1	1053827	-0.786622080322466
1_1053840	1	1053840	-0.887452521778001
1_1053915	1	1053915	-0.755487181569496
1_1053933	1	1053933	-0.64949129783307
1_1054917	1	1054917	-1.10318121283344
1_1055393	1	1055393	-0.748128562403698
