	Chromosome	Position	127B_CM-_vs_127B_PBMC.tumour
1_923744	1	923744	0.0211642800662477
1_923955	1	923955	-0.00633828510904101
1_923990	1	923990	-0.118552673829642
1_924533	1	924533	0.149266263067885
1_930314	1	930314	-0.547119479508278
1_931042	1	931042	0.150241276649187
1_935859	1	935859	-0.14780737762837
1_943364	1	943364	0.0669679696793726
1_943365	1	943365	0.0977855616691603
1_943896	1	943896	0.357908372083051
1_943991	1	943991	0.161555245363094
1_952062	1	952062	0.209402354275644
1_954071	1	954071	0.193145075756518
1_957132	1	957132	-0.0296080644318881
1_957189	1	957189	-0.103620187389826
1_957213	1	957213	0.0180583691984263
1_961906	1	961906	0.126582825976595
1_961957	1	961957	0.0334734215851138
1_962358	1	962358	0.0368418448778418
1_962739	1	962739	-0.186082347581799
1_963349	1	963349	0.158621311009395
1_963349.1	1	963349	0.158621311009395
1_963472	1	963472	0.175492426457542
1_963475	1	963475	0.346775629748428
1_964135	1	964135	-0.00105045374927854
1_965059	1	965059	0.14108239567171
1_965125	1	965125	0.0996274962198914
1_966211	1	966211	0.557217180306458
1_966708	1	966708	-0.502912574829483
1_970911	1	970911	-0.300117590827829
1_970922	1	970922	-0.186082347581799
1_970932	1	970932	0.000897818040243174
1_971132	1	971132	-0.156580920689654
1_973289	1	973289	0.31796015775579
1_973549	1	973549	-0.227054128638105
1_973940	1	973940	-0.0904810757626611
1_973946	1	973946	-0.0101998908430874
1_974557	1	974557	0.147341386143393
1_976536	1	976536	-0.108217899128255
1_978945	1	978945	0.480467687635619
1_978996	1	978996	0.30827760435845
1_979347	1	979347	0.229803546335366
1_979355	1	979355	0.339986464085789
1_979560	1	979560	-0.255623280834876
1_979654	1	979654	0.256154873282318
1_980008	1	980008	-0.170810017998486
1_980234	1	980234	0.413987045529565
1_981154	1	981154	-0.0190170002787272
1_982112	1	982112	-0.100142016155886
1_999842	1	999842	-0.263812678648223
1_1014042	1	1014042	0.499643130074274
1_1014058	1	1014058	0.436848003338378
1_1014217	1	1014217	0.242689262730874
1_1014228	1	1014228	0.394434248108165
1_1020239	1	1020239	-0.122356749971412
1_1022260	1	1022260	0.0137582317648008
1_1041183	1	1041183	-0.144313697630169
1_1041249	1	1041249	0.0103404560375894
1_1041648	1	1041648	-0.0750510351930552
1_1043354	1	1043354	-0.0261414347121088
1_1043839	1	1043839	-0.272497099399272
1_1045393	1	1045393	-0.225293670773668
1_1045965	1	1045965	-0.576245178221614
1_1046551	1	1046551	0.287519044191653
1_1046845	1	1046845	-0.00253853540868722
1_1046854	1	1046854	0.00586896019051223
1_1047403	1	1047403	-0.302461531296128
1_1047626	1	1047626	0.332606933720191
1_1048126	1	1048126	0.184816091562056
1_1048900	1	1048900	0.211830112595106
1_1049046	1	1049046	0.587913977529374
1_1049746	1	1049746	-0.123631215638117
1_1049791	1	1049791	-0.04774368919732
1_1050785	1	1050785	0.343778043248163
1_1051538	1	1051538	0.0819183111453444
1_1052014	1	1052014	-0.17234823654797
1_1053768	1	1053768	0.649314522193517
1_1053827	1	1053827	0.153217952480062
1_1053840	1	1053840	0.164414899502334
1_1053915	1	1053915	0.239057555235008
1_1053933	1	1053933	0.184335593625594
1_1054917	1	1054917	-0.396979130080418
1_1055393	1	1055393	-0.00600939076340388
1_1069443	1	1069443	0.286136490141534
1_1069566	1	1069566	-0.00349777416802117
1_1069577	1	1069577	0.0807436374143688
1_1071916	1	1071916	0.173769511421038
1_1072052	1	1072052	0.0222461661618595
1_1072237	1	1072237	-0.0219396987334927
1_1072454	1	1072454	-0.112045242675257
1_1083934	1	1083934	0.699389264391814
1_1084003	1	1084003	0.439522137636703
1_1087154	1	1087154	-0.21255455894299
1_1087155	1	1087155	-0.134757281317323
1_1091167	1	1091167	0.0974161608117104
1_1091290	1	1091290	0.279379699381636
1_1091576	1	1091576	0.0222461661618595
1_1180168	1	1180168	-0.529082666087763
1_1180802	1	1180802	0.356665205232419
1_1185041	1	1185041	-0.0958095953598526
1_1185051	1	1185051	-0.0349735958177202
1_1185123	1	1185123	0.0792771111982385
1_1188877	1	1188877	-0.267696113135451
1_1194632	1	1194632	-0.134922491170454
1_1196705	1	1196705	0.094873966249257
1_1197558	1	1197558	0.0561934980851974
